STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Colorado,Adams County,08001,33921,99079,246401,87166,57841
Colorado,Alamosa County,08003,955,2947,7788,2389,2436
Colorado,Arapahoe County,08005,38128,111923,295894,117693,92071
Colorado,Archuleta County,08007,520,1846,4242,3321,3801
Colorado,Baca County,08009,179,593,1171,651,866
Colorado,Bent County,08011,220,674,2502,1089,1039
Colorado,Boulder County,08013,13135,45997,156574,60744,51867
Colorado,Broomfield County,08014,3468,12377,34135,13773,11357
Colorado,Chaffee County,08015,783,2112,7548,4304,5129
Colorado,Cheyenne County,08017,70,325,590,403,344
Colorado,Clear Creek County,08019,263,1064,3498,2462,2071
Colorado,Conejos County,08021,457,1457,2685,1399,1538
Colorado,Costilla County,08023,170,500,1103,817,981
Colorado,Crowley County,08025,141,633,3171,984,805
Colorado,Custer County,08027,91,640,1295,1506,1541
Colorado,Delta County,08029,1397,4654,10152,6449,8701
Colorado,Denver County,08031,38964,91856,387765,107489,87660
Colorado,Dolores County,08033,125,210,736,426,888
Colorado,Douglas County,08035,19980,68480,155100,75399,49324
Colorado,Eagle County,08037,2672,8848,24902,11040,7912
Colorado,Elbert County,08039,1278,4450,9691,6813,4920
Colorado,El Paso County,08041,45945,126475,337375,125571,100642
Colorado,Fremont County,08043,1865,6052,19898,10505,11074
Colorado,Garfield County,08045,4075,11389,26227,11516,8827
Colorado,Gilpin County,08047,273,651,2262,1511,1180
Colorado,Grand County,08049,647,1893,6259,3840,3155
Colorado,Gunnison County,08051,503,2189,8888,3089,2489
Colorado,Hinsdale County,08053,15,113,300,188,323
Colorado,Huerfano County,08055,358,754,1902,1572,2360
Colorado,Jackson County,08057,33,238,394,292,465
Colorado,Jefferson County,08059,27601,81689,253875,115468,101082
Colorado,Kiowa County,08061,50,251,424,337,294
Colorado,Kit Carson County,08063,448,1368,2566,1239,1394
Colorado,Lake County,08065,357,1074,3968,1037,975
Colorado,La Plata County,08067,2358,7696,23326,11516,11192
Colorado,Larimer County,08069,16179,51817,172372,61929,61264
Colorado,Las Animas County,08071,655,1973,5228,2853,3683
Colorado,Lincoln County,08073,247,735,2544,1046,989
Colorado,Logan County,08075,1015,2834,9404,3888,3926
Colorado,Mesa County,08077,8170,24637,62694,29668,32147
Colorado,Mineral County,08079,28,72,255,207,237
Colorado,Moffat County,08081,766,2576,5174,2601,2141
Colorado,Montezuma County,08083,1333,4156,9201,5252,6262
Colorado,Montrose County,08085,2049,6815,14921,8519,10968
Colorado,Morgan County,08087,2006,5632,11570,5369,4609
Colorado,Otero County,08089,1063,3252,6831,3438,3876
Colorado,Ouray County,08091,114,519,1451,1158,1782
Colorado,Park County,08093,558,2047,5925,5162,4047
Colorado,Phillips County,08095,351,817,1609,906,808
Colorado,Pitkin County,08097,635,1925,6842,4013,3704
Colorado,Prowers County,08099,779,2291,4544,2094,2223
Colorado,Pueblo County,08101,9109,28036,66976,31867,32738
Colorado,Rio Blanco County,08103,417,1177,2606,1219,1099
Colorado,Rio Grande County,08105,579,1744,4317,2238,2516
Colorado,Routt County,08107,1023,3357,10705,5517,4388
Colorado,Saguache County,08109,383,824,2075,1503,1726
Colorado,San Juan County,08111,19,59,324,145,143
Colorado,San Miguel County,08113,244,1040,3510,1841,1391
Colorado,Sedgwick County,08115,188,325,770,489,574
Colorado,Summit County,08117,1102,3962,14973,6081,4739
Colorado,Teller County,08119,803,3167,7964,6851,5989
Colorado,Washington County,08121,238,840,1766,935,1060
Colorado,Weld County,08123,23272,64263,152576,57371,43229
Colorado,Yuma County,08125,700,2023,3703,1740,1755
