STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Florida,Alachua County,12001,13539,36800,147184,42114,42114
Florida,Baker County,12003,1811,5003,11858,5261,4253
Florida,Bay County,12005,10115,28034,71510,38644,33065
Florida,Bradford County,12007,1410,4302,11767,5354,5055
Florida,Brevard County,12009,27381,85374,217788,139828,150162
Florida,Broward County,12011,106739,299993,793751,403050,342594
Florida,Calhoun County,12013,641,2072,5592,2860,2428
Florida,Charlotte County,12015,5433,17637,48292,44848,78873
Florida,Citrus County,12017,5362,18146,42607,34919,57659
Florida,Clay County,12019,11684,39632,88635,45944,37541
Florida,Collier County,12021,15948,47689,116642,77310,130092
Florida,Columbia County,12023,3978,11768,27038,13828,14143
Florida,DeSoto County,12027,1729,4562,13802,6372,8254
Florida,Dixie County,12029,715,2370,6155,3705,4007
Florida,Duval County,12031,64599,162108,441979,187633,150870
Florida,Escambia County,12033,18752,49150,136822,61491,57060
Florida,Flagler County,12035,4359,15519,36862,27137,37833
Florida,Franklin County,12037,455,1446,4463,2797,3257
Florida,Gadsden County,12039,2550,7141,16380,9086,8485
Florida,Gilchrist County,12041,998,2853,6839,4067,3737
Florida,Glades County,12043,365,1321,5063,2302,3273
Florida,Gulf County,12045,526,1663,5741,3373,3469
Florida,Hamilton County,12047,653,2116,5427,2615,2634
Florida,Hardee County,12049,1613,4797,10471,4470,4157
Florida,Hendry County,12051,3010,7278,17868,7102,5540
Florida,Hernando County,12053,8760,28606,68360,42259,53527
Florida,Highlands County,12055,4280,13197,30000,19031,37300
Florida,Hillsborough County,12057,85682,239342,665057,278432,221121
Florida,Holmes County,12059,989,3041,7592,4038,3966
Florida,Indian River County,12061,6295,18680,47666,35192,56023
Florida,Jackson County,12063,2430,6635,19352,9274,9961
Florida,Jefferson County,12065,604,1925,5270,3309,3605
Florida,Lafayette County,12067,324,1132,3520,1447,1612
Florida,Lake County,12069,18798,57274,137850,78619,106155
Florida,Lee County,12071,35395,101066,266767,159984,229480
Florida,Leon County,12073,14560,40371,152573,45285,42546
Florida,Levy County,12075,2183,6504,14903,9627,11059
Florida,Liberty County,12077,280,1188,3534,1595,1053
Florida,Madison County,12079,867,2353,6936,3861,4096
Florida,Manatee County,12081,18216,55471,136882,88026,117425
Florida,Marion County,12083,18319,54613,127715,75594,111456
Florida,Martin County,12085,6391,19685,48364,35032,50992
Florida,Miami-Dade County,12086,147638,393057,1143884,548603,452114
Florida,Monroe County,12087,3552,9217,29247,19936,19888
Florida,Nassau County,12089,4484,14037,32967,21068,22097
Florida,Okaloosa County,12091,13396,35041,90870,39868,35106
Florida,Okeechobee County,12093,2326,6288,15722,7841,8072
Florida,Orange County,12095,82213,228453,688249,257875,183681
Florida,Osceola County,12097,24257,73527,183018,71649,54492
Florida,Palm Beach County,12099,74364,210448,551773,300071,370797
Florida,Pasco County,12101,29016,90528,221370,118183,129661
Florida,Pinellas County,12103,38122,112337,342140,219506,248460
Florida,Polk County,12105,42847,125123,307310,136050,149631
Florida,Putnam County,12107,4114,11756,25402,15491,17472
Florida,St. Johns County,12109,13505,49840,106399,61542,60957
Florida,St. Lucie County,12111,17163,51172,123240,69929,84733
Florida,Santa Rosa County,12113,10366,32185,79249,40029,31890
Florida,Sarasota County,12115,14988,48076,122540,95876,167531
Florida,Seminole County,12117,23755,74650,206488,92540,77479
Florida,Sumter County,12119,2534,7235,23965,24339,79463
Florida,Suwannee County,12121,2110,7283,16724,8999,9368
Florida,Taylor County,12123,931,3367,8361,4296,4467
Florida,Union County,12125,852,2447,6344,3234,2674
Florida,Volusia County,12127,25456,74004,204255,121930,142584
Florida,Wakulla County,12129,1744,5316,14414,7384,5750
Florida,Walton County,12131,4583,11988,29337,18137,15801
Florida,Washington County,12133,1274,3806,10160,5386,4633
