STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Georgia,Appling County,13001,1156,3378,6873,3702,3317
Georgia,Atkinson County,13003,545,1554,3511,1528,1123
Georgia,Bacon County,13005,515,2314,4388,2039,1873
Georgia,Baker County,13007,67,455,962,608,738
Georgia,Baldwin County,13009,2014,6260,20060,8042,7293
Georgia,Banks County,13011,948,3069,7171,4354,3215
Georgia,Barrow County,13013,5549,16547,38135,15610,11141
Georgia,Bartow County,13015,6761,19458,46139,22644,16151
Georgia,Ben Hill County,13017,1010,3219,6642,3221,3046
Georgia,Berrien County,13019,1129,3218,7071,3597,3242
Georgia,Bibb County,13021,10102,28185,64637,28265,25354
Georgia,Bleckley County,13023,524,1953,5334,2405,2198
Georgia,Brantley County,13025,919,3146,7069,3947,3090
Georgia,Brooks County,13027,953,2499,6031,3419,3383
Georgia,Bryan County,13029,3342,10314,20682,7325,5018
Georgia,Bulloch County,13031,4549,11856,42825,12306,9836
Georgia,Burke County,13033,1453,4614,9240,4967,4153
Georgia,Butts County,13035,1172,4178,11271,5408,4045
Georgia,Calhoun County,13037,227,642,2726,1002,931
Georgia,Camden County,13039,3755,9726,24698,9622,8235
Georgia,Candler County,13043,665,2089,4017,2195,2006
Georgia,Carroll County,13045,7675,21449,54133,21818,17112
Georgia,Catoosa County,13047,3485,11814,26900,13686,12471
Georgia,Charlton County,13049,476,2026,6037,2300,1872
Georgia,Chatham County,13051,17495,44915,133742,53177,48814
Georgia,Chattahoochee County,13053,675,1084,6483,634,305
Georgia,Chattooga County,13055,1397,3985,9980,5035,4578
Georgia,Cherokee County,13057,15080,48857,112499,55888,42215
Georgia,Clarke County,13059,6247,15689,74250,17485,15596
Georgia,Clay County,13061,119,442,945,454,893
Georgia,Clayton County,13063,20910,60579,133349,53250,30683
Georgia,Clinch County,13065,436,1243,2758,1163,1122
Georgia,Cobb County,13067,44004,132078,343508,147669,101893
Georgia,Coffee County,13069,2939,7683,18745,7491,6303
Georgia,Colquitt County,13071,3016,8809,18674,8316,7092
Georgia,Columbia County,13073,9632,30398,67469,28669,23470
Georgia,Cook County,13075,1162,3238,6808,3352,2803
Georgia,Coweta County,13077,8380,26753,61259,31565,22114
Georgia,Crawford County,13079,598,1935,4206,3015,2429
Georgia,Crisp County,13081,1291,3378,7432,4021,3873
Georgia,Dade County,13083,875,2303,6441,3272,3305
Georgia,Dawson County,13085,1548,4205,11011,6339,5601
Georgia,Decatur County,13087,1961,5129,11411,5723,4894
Georgia,DeKalb County,13089,50486,124853,347791,137523,101452
Georgia,Dodge County,13091,892,2893,8185,4120,3819
Georgia,Dooly County,13093,441,1312,4422,2427,2424
Georgia,Dougherty County,13095,5469,14808,34289,15094,14255
Georgia,Douglas County,13097,8662,28734,62212,29067,17466
Georgia,Early County,13099,645,1972,3850,2149,2067
Georgia,Echols County,13101,283,751,1500,703,468
Georgia,Effingham County,13103,4369,13542,28635,12480,8239
Georgia,Elbert County,13105,1340,2996,7113,4091,4185
Georgia,Emanuel County,13107,1490,4260,9372,4141,3698
Georgia,Evans County,13109,586,2169,4272,1867,1846
Georgia,Fannin County,13111,1061,3005,7566,6194,7779
Georgia,Fayette County,13113,5225,22283,43371,26254,23556
Georgia,Floyd County,13115,5656,16938,41287,18587,16517
Georgia,Forsyth County,13117,14327,53860,108979,50483,32413
Georgia,Franklin County,13119,1290,3998,9170,4943,4439
Georgia,Fulton County,13121,57746,167856,515700,195016,132189
Georgia,Gilmer County,13123,1557,4387,10066,7539,8427
Georgia,Glascock County,13125,114,512,1170,586,531
Georgia,Glynn County,13127,4425,13484,31123,17032,18923
Georgia,Gordon County,13129,3342,10280,24060,11674,8980
Georgia,Grady County,13131,1612,4839,9624,5096,4885
Georgia,Greene County,13133,792,2670,5733,4439,5952
Georgia,Gwinnett County,13135,59771,195451,422958,183316,105476
Georgia,Habersham County,13137,2673,7614,18815,8915,8931
Georgia,Hall County,13139,12795,37568,84973,39774,33285
Georgia,Hancock County,13141,165,1138,3263,1937,2127
Georgia,Haralson County,13143,1868,5455,12308,6239,4850
Georgia,Harris County,13145,1742,5895,13238,7954,6680
Georgia,Hart County,13147,1326,4142,9539,5530,5947
Georgia,Heard County,13149,605,2100,4411,2474,2026
Georgia,Henry County,13151,13875,48074,104196,49279,29993
Georgia,Houston County,13153,10492,32287,71568,30201,22354
Georgia,Irwin County,13155,457,1652,3798,1843,1635
Georgia,Jackson County,13157,4972,15398,33388,15191,11691
Georgia,Jasper County,13159,751,2847,5649,3407,2691
Georgia,Jeff Davis County,13161,897,2996,5810,2827,2308
Georgia,Jefferson County,13163,889,2623,6009,3074,2873
Georgia,Jenkins County,13165,255,1357,3268,1992,1802
Georgia,Johnson County,13167,469,1187,3950,1752,1834
Georgia,Jones County,13169,1500,5018,10999,5846,5163
Georgia,Lamar County,13171,1055,3079,8056,3661,3247
Georgia,Lanier County,13173,637,1663,4415,1914,1465
Georgia,Laurens County,13175,3055,9276,18998,9298,8992
Georgia,Lee County,13177,1994,6633,14119,6014,4577
Georgia,Liberty County,13179,6414,12080,33249,8525,6558
Georgia,Lincoln County,13181,310,1166,2551,1784,1962
Georgia,Long County,13183,1281,3576,8050,2995,1610
Georgia,Lowndes County,13185,8019,21263,56159,18148,15466
Georgia,Lumpkin County,13187,1603,4206,15659,6282,6181
Georgia,McDuffie County,13189,1176,4248,7879,4380,4004
Georgia,McIntosh County,13191,301,1397,3654,2556,3279
Georgia,Macon County,13193,605,1643,5173,2345,2187
Georgia,Madison County,13195,1933,5291,12254,5841,5595
Georgia,Marion County,13197,352,1165,2693,1675,1589
Georgia,Meriwether County,13199,1134,3349,7498,4443,4333
Georgia,Miller County,13201,326,1016,2108,1140,1283
Georgia,Mitchell County,13205,1214,3689,8459,4202,3877
Georgia,Monroe County,13207,1407,4660,11310,6095,5447
Georgia,Montgomery County,13209,463,1314,3684,1702,1512
Georgia,Morgan County,13211,1099,3510,7537,4283,4185
Georgia,Murray County,13213,2376,7243,16363,8303,5997
Georgia,Muscogee County,13215,14074,37053,89223,34663,29370
Georgia,Newton County,13217,7016,22553,48673,21957,15331
Georgia,Oconee County,13219,2054,9159,16020,8646,6909
