STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Illinois,Adams County,17001,3897,10896,24168,13133,13072
Illinois,Alexander County,17003,236,856,1581,1148,1221
Illinois,Bond County,17005,645,2384,7286,3268,3044
Illinois,Boone County,17007,2872,10014,20927,10784,8719
Illinois,Brown County,17009,288,814,2916,1278,1024
Illinois,Bureau County,17011,1709,5213,11739,6878,7488
Illinois,Calhoun County,17013,184,713,1399,1024,1086
Illinois,Carroll County,17015,677,2150,5920,3125,3749
Illinois,Cass County,17017,860,2281,5022,2281,2382
Illinois,Champaign County,17019,10846,28884,108056,30247,28065
Illinois,Christian County,17021,1685,5049,13088,7231,6631
Illinois,Clark County,17023,847,2576,5630,3257,3018
Illinois,Clay County,17025,732,2302,4749,2652,2738
Illinois,Clinton County,17027,2095,5871,14344,7897,6692
Illinois,Coles County,17029,2367,6154,21163,8561,8444
Illinois,Cook County,17031,290804,820161,2308850,959690,806307
Illinois,Crawford County,17033,998,2758,7371,3836,3625
Illinois,Cumberland County,17035,701,1774,3653,2142,2108
Illinois,DeKalb County,17037,5563,16343,48633,16277,13696
Illinois,De Witt County,17039,905,2418,5611,3430,3097
Illinois,Douglas County,17041,1313,3523,7610,3597,3643
Illinois,DuPage County,17043,52102,155472,375060,188494,156135
Illinois,Edgar County,17045,791,2490,5848,3523,3985
Illinois,Edwards County,17047,357,1022,2090,1294,1355
Illinois,Effingham County,17049,2252,6096,12959,6867,6331
Illinois,Fayette County,17051,1211,3168,8589,4303,4109
Illinois,Ford County,17053,766,2354,4925,2767,2584
Illinois,Franklin County,17055,2144,6179,13683,7736,7799
Illinois,Fulton County,17057,1619,4947,12785,6897,7011
Illinois,Gallatin County,17059,205,757,1646,1003,1246
Illinois,Greene County,17061,604,1930,4271,2622,2410
Illinois,Grundy County,17063,3081,9991,21564,10557,7727
Illinois,Hamilton County,17065,445,1367,2794,1599,1767
Illinois,Hancock County,17067,860,2820,5769,3818,4167
Illinois,Hardin County,17069,77,417,1037,940,1152
Illinois,Henderson County,17071,296,892,1970,1448,1678
Illinois,Henry County,17073,2520,8273,17776,10015,10364
Illinois,Iroquois County,17075,1532,4270,9393,5612,5939
Illinois,Jackson County,17077,2790,7217,25749,8373,8577
Illinois,Jasper County,17079,548,1522,3197,2074,1892
Illinois,Jefferson County,17081,2141,6122,14016,7268,7261
Illinois,Jersey County,17083,986,3270,8075,4716,4289
Illinois,Jo Daviess County,17085,890,3172,6705,4766,6385
Illinois,Johnson County,17087,567,1807,5462,2789,2725
Illinois,Kane County,17089,30266,95600,210808,102045,77378
Illinois,Kankakee County,17091,6169,18400,42960,20659,18645
Illinois,Kendall County,17093,8401,28749,59948,23038,14917
Illinois,Knox County,17095,2728,7221,18809,9618,10918
Illinois,Lake County,17097,38458,129640,290148,144815,108824
Illinois,LaSalle County,17099,5739,17495,41558,23049,21208
Illinois,Lawrence County,17101,697,2155,6588,2941,2756
Illinois,Lee County,17103,1683,5095,12989,7238,7053
Illinois,Livingston County,17105,2031,5835,13435,7243,7115
Illinois,Logan County,17107,1338,4109,11747,5359,5317
Illinois,McDonough County,17109,1258,3595,12653,4362,5234
Illinois,McHenry County,17111,16520,55136,122033,68145,49532
Illinois,McLean County,17113,9384,27295,80804,29114,24285
Illinois,Macon County,17115,6315,16919,38522,19750,21085
Illinois,Macoupin County,17117,2184,7060,16199,9709,9414
Illinois,Madison County,17119,14040,42944,106558,53488,47601
Illinois,Marion County,17121,2370,6430,13677,7419,7398
Illinois,Marshall County,17123,648,1831,3927,2547,2762
Illinois,Mason County,17125,598,2051,4521,2745,2963
Illinois,Massac County,17127,640,2316,4922,3092,2988
Illinois,Menard County,17129,654,2033,4369,2656,2457
Illinois,Mercer County,17131,757,2536,5620,3354,3352
Illinois,Monroe County,17133,1865,5864,12951,7701,6588
Illinois,Montgomery County,17135,1393,4256,10662,5872,5895
Illinois,Morgan County,17137,1631,4672,12880,6636,6802
Illinois,Moultrie County,17139,856,2838,5246,2787,2742
Illinois,Ogle County,17141,2737,8811,19122,10900,9966
Illinois,Peoria County,17143,11860,31196,72051,32487,32237
Illinois,Perry County,17145,1024,3036,8561,4064,4125
Illinois,Piatt County,17147,864,2797,6118,3502,3421
Illinois,Pike County,17149,888,2481,5174,2913,3169
Illinois,Pope County,17151,199,390,1243,947,978
Illinois,Pulaski County,17153,250,790,1927,953,1154
Illinois,Putnam County,17155,263,840,1876,1285,1336
Illinois,Randolph County,17157,1537,4601,11429,6299,6276
Illinois,Richland County,17159,910,2701,5662,3191,3211
Illinois,Rock Island County,17161,8404,23819,55248,26833,28691
Illinois,St. Clair County,17163,14893,44434,102066,50660,42724
Illinois,Saline County,17165,1397,3490,8415,5195,4890
Illinois,Sangamon County,17167,10927,32053,75945,39407,36885
Illinois,Schuyler County,17169,278,902,2339,1590,1717
Illinois,Scott County,17171,214,824,1721,1088,1000
Illinois,Shelby County,17173,1121,3337,7108,4402,4899
Illinois,Stark County,17175,280,873,1860,1095,1216
Illinois,Stephenson County,17177,2314,7081,14787,9317,10543
Illinois,Tazewell County,17179,6849,22250,50234,25706,25516
Illinois,Union County,17181,920,2723,6044,3534,3751
Illinois,Vermilion County,17183,4426,12774,27012,14266,14701
Illinois,Wabash County,17185,601,1837,4111,2187,2463
Illinois,Warren County,17187,899,2785,6378,3259,3255
Illinois,Washington County,17189,684,2188,4894,3006,2910
Illinois,Wayne County,17191,920,2689,5618,3259,3508
Illinois,White County,17193,677,2315,4718,2822,3176
Illinois,Whiteside County,17195,2928,9225,19838,11374,11827
Illinois,Will County,17197,38558,129047,290660,141755,98430
Illinois,Williamson County,17199,3642,10773,26043,13335,13109
Illinois,Winnebago County,17201,17365,49385,109341,55608,51590
Illinois,Woodford County,17203,2170,7038,14255,7692,7193
