STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Iowa,Adair County,19001,467,1248,2542,1554,1660
Iowa,Adams County,19003,197,599,1146,825,874
Iowa,Allamakee County,19005,898,2488,4618,2848,3186
Iowa,Appanoose County,19007,602,2019,4141,2615,2865
Iowa,Audubon County,19009,375,874,1749,1219,1405
Iowa,Benton County,19011,1492,4449,9063,5732,4962
Iowa,Black Hawk County,19013,8030,20649,57784,21397,22833
Iowa,Boone County,19015,1350,4231,10336,5518,5234
Iowa,Bremer County,19017,1423,4254,10132,4408,4901
Iowa,Buchanan County,19019,1363,3945,7502,4062,3773
Iowa,Buena Vista County,19021,1439,4082,8458,3388,3317
Iowa,Butler County,19023,731,2484,4972,2856,3258
Iowa,Calhoun County,19025,548,1604,3486,1925,2295
Iowa,Carroll County,19027,1159,3827,7203,4155,4333
Iowa,Cass County,19029,670,2420,4334,2647,3044
Iowa,Cedar County,19031,878,3075,6632,4054,3788
Iowa,Cerro Gordo County,19033,2278,6686,15096,8880,9845
Iowa,Cherokee County,19035,568,1954,3912,2308,2845
Iowa,Chickasaw County,19037,750,2019,3979,2500,2620
Iowa,Clarke County,19039,681,1793,3394,1913,1909
Iowa,Clay County,19041,868,2935,5828,3215,3600
Iowa,Clayton County,19043,1003,2705,5512,3693,4156
Iowa,Clinton County,19045,2630,7902,16570,9980,9301
Iowa,Crawford County,19047,989,3132,6196,3021,2951
Iowa,Dallas County,19049,7173,20766,46242,16951,13004
Iowa,Davis County,19051,813,1917,3152,1621,1624
Iowa,Decatur County,19053,459,1271,3049,1291,1599
Iowa,Delaware County,19055,1001,3114,5838,3922,3674
Iowa,Des Moines County,19057,2154,6290,14343,7666,8144
Iowa,Dickinson County,19059,823,2610,5791,3699,4921
Iowa,Dubuque County,19061,5959,16472,38932,19015,18570
Iowa,Emmet County,19063,404,1413,3376,1931,2192
Iowa,Fayette County,19065,1117,3028,6773,4184,4291
Iowa,Floyd County,19067,978,2530,5287,3184,3523
Iowa,Franklin County,19069,688,1751,3380,2024,2134
Iowa,Fremont County,19071,303,1138,2162,1418,1549
Iowa,Greene County,19073,431,1413,3008,1738,2132
Iowa,Grundy County,19075,700,2217,4393,2474,2568
Iowa,Guthrie County,19077,524,1755,3547,2314,2506
Iowa,Hamilton County,19079,742,2744,5287,2954,3166
Iowa,Hancock County,19081,569,1712,3759,2119,2559
Iowa,Hardin County,19083,765,2452,6109,3549,3854
Iowa,Harrison County,19085,842,2535,5229,3150,2889
Iowa,Henry County,19087,1070,3184,8005,4045,3924
Iowa,Howard County,19089,627,1792,3272,1840,1928
Iowa,Humboldt County,19091,560,1706,3371,1886,2050
Iowa,Ida County,19093,381,1317,2340,1370,1536
Iowa,Iowa County,19095,900,2988,5803,3628,3228
Iowa,Jackson County,19097,1113,3200,6526,4371,4219
Iowa,Jasper County,19099,2001,6381,14548,7605,7329
Iowa,Jefferson County,19101,736,1948,6194,2765,4033
Iowa,Johnson County,19103,8378,21898,82234,22420,19951
Iowa,Jones County,19105,1075,3269,7666,4405,4384
Iowa,Keokuk County,19107,554,1708,3508,2011,2183
Iowa,Kossuth County,19109,810,2441,4777,2935,3647
Iowa,Lee County,19111,1832,5243,11966,6926,7208
Iowa,Linn County,19113,13573,38660,95514,43000,38716
Iowa,Louisa County,19115,587,1815,3941,2245,2122
Iowa,Lucas County,19117,521,1477,2917,1892,1878
Iowa,Lyon County,19119,845,2606,4298,2053,2285
Iowa,Madison County,19121,889,3286,6115,3443,3027
Iowa,Mahaska County,19123,1339,3923,8501,4091,4191
Iowa,Marion County,19125,1891,5954,12812,6547,6347
Iowa,Marshall County,19127,2394,7733,14971,7495,7378
Iowa,Mills County,19129,694,2668,5266,3043,2892
Iowa,Mitchell County,19131,643,1891,3592,2163,2259
Iowa,Monona County,19133,480,1452,2799,1834,2054
Iowa,Monroe County,19135,460,1285,2672,1634,1495
Iowa,Montgomery County,19137,555,1765,3479,2113,2342
Iowa,Muscatine County,19139,2541,7803,16516,8366,7509
Iowa,O'Brien County,19141,932,2506,5131,2561,2973
Iowa,Osceola County,19143,342,1094,1960,1371,1347
Iowa,Page County,19145,656,2252,5596,3055,3609
Iowa,Palo Alto County,19147,547,1540,3175,1691,1949
Iowa,Plymouth County,19149,1453,4958,9260,5072,4956
Iowa,Pocahontas County,19151,427,1195,2256,1512,1650
Iowa,Polk County,19153,32945,89439,219369,87662,68026
Iowa,Pottawattamie County,19155,5182,16463,36142,18473,17147
Iowa,Poweshiek County,19157,816,2803,7477,3586,3900
Iowa,Ringgold County,19159,271,810,1498,1008,1077
Iowa,Sac County,19161,589,1583,3166,2091,2330
Iowa,Scott County,19163,10270,30516,70444,33221,29851
Iowa,Shelby County,19165,649,2037,3796,2548,2727
Iowa,Sioux County,19167,2607,7267,14694,5689,5727
Iowa,Story County,19169,4204,11996,56897,12722,12773
Iowa,Tama County,19171,1002,3077,5904,3530,3469
Iowa,Taylor County,19173,318,1068,2006,1174,1335
Iowa,Union County,19175,608,2250,4411,2297,2472
Iowa,Van Buren County,19177,462,1219,2361,1512,1682
Iowa,Wapello County,19179,2097,6252,13743,6811,6362
Iowa,Warren County,19181,3090,10082,21440,10059,8813
Iowa,Washington County,19183,1419,4134,8175,4339,4472
Iowa,Wayne County,19185,454,1260,2085,1259,1460
Iowa,Webster County,19187,2109,5763,14702,7016,7258
Iowa,Winnebago County,19189,510,1805,3999,2038,2296
Iowa,Winneshiek County,19191,925,2865,7618,4047,4517
Iowa,Woodbury County,19193,7160,20260,43354,18542,16444
Iowa,Worth County,19195,417,1103,2657,1547,1656
Iowa,Wright County,19197,836,2507,4297,2343,2834
