STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Kentucky,Adair County,21001,894,2887,7668,3832,3735
Kentucky,Allen County,21003,1231,3614,7930,4555,3699
Kentucky,Anderson County,21005,1407,4204,9175,5385,3927
Kentucky,Ballard County,21007,334,1205,2816,1637,1686
Kentucky,Barren County,21009,2652,7958,17127,8931,8002
Kentucky,Bath County,21011,861,2407,4702,2700,2142
Kentucky,Bell County,21013,1432,3775,9102,5075,4494
Kentucky,Boone County,21015,8811,26726,56417,25755,19967
Kentucky,Bourbon County,21017,1254,3351,7405,4227,3937
Kentucky,Boyd County,21019,2531,7694,18199,9904,9715
Kentucky,Boyle County,21021,1555,4800,12738,5884,5731
Kentucky,Bracken County,21023,492,1497,3098,1854,1486
Kentucky,Breathitt County,21025,770,2036,5197,2971,2464
Kentucky,Breckinridge County,21027,1201,3457,7464,4468,4132
Kentucky,Bullitt County,21029,4277,13557,33387,17946,14042
Kentucky,Butler County,21031,744,2131,4654,2499,2345
Kentucky,Caldwell County,21033,715,2188,4514,2547,2667
Kentucky,Calloway County,21035,1660,5245,18025,6595,6357
Kentucky,Campbell County,21037,5194,14162,39026,18893,15918
Kentucky,Carlisle County,21039,284,838,1761,933,947
Kentucky,Carroll County,21041,697,2190,4145,2080,1766
Kentucky,Carter County,21043,1542,4393,9894,5401,5285
Kentucky,Casey County,21045,1049,2694,5834,3148,3226
Kentucky,Christian County,21047,6876,13469,33796,9334,9124
Kentucky,Clark County,21049,2045,6302,14530,7405,6722
Kentucky,Clay County,21051,1141,3039,8549,4221,3155
Kentucky,Clinton County,21053,524,1456,3435,1962,1863
Kentucky,Crittenden County,21055,466,1548,3262,1828,1868
Kentucky,Cumberland County,21057,369,938,1984,1335,1322
Kentucky,Daviess County,21059,6630,18730,40065,19855,17915
Kentucky,Edmonson County,21061,526,1787,4553,2750,2627
Kentucky,Elliott County,21063,278,942,3080,1454,1582
Kentucky,Estill County,21065,702,2300,5128,3215,2734
Kentucky,Fayette County,21067,18457,49285,152952,54234,46194
Kentucky,Fleming County,21069,1040,2628,5632,3105,2816
Kentucky,Floyd County,21071,2006,5800,13227,7435,6874
Kentucky,Franklin County,21073,2818,8021,20941,10298,9485
Kentucky,Fulton County,21075,310,1091,2442,1250,1347
Kentucky,Gallatin County,21077,485,1474,3422,2012,1356
Kentucky,Garrard County,21079,928,2874,6481,3875,3188
Kentucky,Grant County,21081,1738,5006,10094,4860,3540
Kentucky,Graves County,21083,2426,6458,13586,7433,6709
Kentucky,Grayson County,21085,1710,4582,10146,5378,4770
Kentucky,Green County,21087,610,1752,3909,2497,2510
Kentucky,Greenup County,21089,1732,5914,12907,7380,7706
Kentucky,Hancock County,21091,524,1670,3318,1894,1626
Kentucky,Hardin County,21093,7135,20508,46222,21131,16456
Kentucky,Harlan County,21095,1569,4612,9639,5344,5021
Kentucky,Harrison County,21097,1270,3128,6894,4137,3542
Kentucky,Hart County,21099,1275,3480,7142,4244,3329
Kentucky,Henderson County,21101,2489,7638,16926,9081,8359
