STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Louisiana,Acadia Parish,22001,3810,11053,22154,10974,9227
Louisiana,Allen Parish,22003,1327,3441,10308,4226,3250
Louisiana,Ascension Parish,22005,8599,25630,54735,23263,16366
Louisiana,Assumption Parish,22007,1032,3276,7828,4412,4172
Louisiana,Avoyelles Parish,22009,2549,6828,15550,7478,6771
Louisiana,Beauregard Parish,22011,2504,6771,14785,6719,5867
Louisiana,Bienville Parish,22013,771,2128,4507,2679,2684
Louisiana,Bossier Parish,22015,8317,23805,55174,22483,19355
Louisiana,Caddo Parish,22017,14440,40676,91753,43191,42913
Louisiana,Calcasieu Parish,22019,14317,38058,85254,38467,32572
Louisiana,Caldwell Parish,22021,484,1631,3899,1822,1727
Louisiana,Cameron Parish,22023,355,900,1912,1131,924
Louisiana,Catahoula Parish,22025,497,1462,3453,1737,1589
Louisiana,Claiborne Parish,22027,667,2077,5428,2856,2991
Louisiana,Concordia Parish,22029,1081,3246,7174,3356,3468
Louisiana,De Soto Parish,22031,1613,4831,10297,5173,4983
Louisiana,East Baton Rouge Parish,22033,28545,74289,208000,74634,67353
Louisiana,East Carroll Parish,22035,296,1120,3372,1115,1292
Louisiana,East Feliciana Parish,22037,885,2463,7775,4457,3798
Louisiana,Evangeline Parish,22039,2203,5920,12965,6026,5048
Louisiana,Franklin Parish,22041,1268,3600,7181,3735,3806
Louisiana,Grant Parish,22043,1240,3416,10142,3914,3411
Louisiana,Iberia Parish,22045,4683,13043,26658,13646,11164
Louisiana,Iberville Parish,22047,1615,4656,12464,6031,5184
Louisiana,Jackson Parish,22049,763,2435,5723,2947,3071
Louisiana,Jefferson Parish,22051,27292,69698,171961,85166,78367
Louisiana,Jefferson Davis Parish,22053,2082,5986,12341,6374,5300
Louisiana,Lafayette Parish,22055,16292,43003,106406,44265,35109
Louisiana,Lafourche Parish,22057,5767,16456,39460,19325,15662
Louisiana,LaSalle Parish,22059,816,2384,6909,2394,2301
Louisiana,Lincoln Parish,22061,2448,7092,25137,6732,6751
Louisiana,Livingston Parish,22063,9443,28160,62342,25892,19746
Louisiana,Madison Parish,22065,705,1829,3868,1711,1644
Louisiana,Morehouse Parish,22067,1523,4295,9384,4932,4833
Louisiana,Natchitoches Parish,22069,2267,6295,16267,6005,6213
Louisiana,Orleans Parish,22071,20845,53576,170107,69628,61879
Louisiana,Ouachita Parish,22073,10265,29034,66388,28660,24569
Louisiana,Plaquemines Parish,22075,1456,4308,9402,4690,3214
Louisiana,Pointe Coupee Parish,22077,1098,3301,7206,4394,4439
Louisiana,Rapides Parish,22079,8367,23864,50401,24404,21434
Louisiana,Red River Parish,22081,459,1326,2765,1516,1463
Louisiana,Richland Parish,22083,1272,3456,7895,3711,3574
Louisiana,Sabine Parish,22085,1310,3834,7967,4333,4641
Louisiana,St. Bernard Parish,22087,2973,8623,19165,7789,5622
Louisiana,St. Charles Parish,22089,2737,9887,20719,10805,7715
Louisiana,St. Helena Parish,22091,562,1645,4195,2212,2235
Louisiana,St. James Parish,22093,1130,3301,7420,4187,3759
Louisiana,St. John the Baptist Parish,22095,2375,7658,16677,8463,6169
Louisiana,St. Landry Parish,22097,5832,16076,31078,15493,13649
Louisiana,St. Martin Parish,22099,3195,9232,20060,10528,8544
Louisiana,St. Mary Parish,22101,3239,8560,17850,10102,8704
Louisiana,St. Tammany Parish,22103,15618,48439,102680,54077,48517
Louisiana,Tangipahoa Parish,22105,9323,23893,58068,23673,20261
Louisiana,Tensas Parish,22107,191,671,1189,860,1081
Louisiana,Terrebonne Parish,22109,7068,20100,42980,20665,16549
Louisiana,Union Parish,22111,1293,3220,7304,4471,4626
Louisiana,Vermilion Parish,22113,3647,10798,22031,11394,9161
Louisiana,Vernon Parish,22115,3816,8288,22285,6905,6470
Louisiana,Washington Parish,22117,2878,7835,17469,8669,8387
Louisiana,Webster Parish,22119,2083,6187,13238,7361,7320
Louisiana,West Baton Rouge Parish,22121,1725,4813,12227,4922,3979
Louisiana,West Carroll Parish,22123,567,1649,3524,1882,2000
Louisiana,West Feliciana Parish,22125,606,1905,7034,3424,2412
Louisiana,Winn Parish,22127,645,2160,5601,2531,2569
