STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Massachusetts,Barnstable County,25001,7953,25222,67341,55323,74234
Massachusetts,Berkshire County,25003,5126,15898,46329,29167,31527
Massachusetts,Bristol County,25005,29592,90295,234404,123365,100780
Massachusetts,Dukes County,25007,832,2758,6643,5131,5387
Massachusetts,Essex County,25009,43701,125719,321820,170645,145373
Massachusetts,Franklin County,25011,2719,9260,25918,16052,16973
Massachusetts,Hampden County,25013,24363,73187,190003,92782,82518
Massachusetts,Hampshire County,25015,5187,18162,73117,29858,30271
Massachusetts,Middlesex County,25017,82549,235919,726110,318728,259590
Massachusetts,Nantucket County,25019,683,2256,6010,3133,2217
Massachusetts,Norfolk County,25021,37450,112293,297031,151594,126172
Massachusetts,Plymouth County,25023,27304,84117,199729,118564,102175
Massachusetts,Suffolk County,25025,38217,88277,428178,126084,101416
Massachusetts,Worcester County,25027,44659,134710,355571,184008,142716
