STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Minnesota,Aitkin County,27001,585,1954,4109,3878,5404
Minnesota,Anoka County,27003,22128,65352,149579,75035,55001
Minnesota,Becker County,27005,1992,6351,11936,7166,7815
Minnesota,Beltrami County,27007,3039,8561,19122,7819,7880
Minnesota,Benton County,27009,2752,7818,17534,7599,5755
Minnesota,Big Stone County,27011,318,819,1586,1063,1366
Minnesota,Blue Earth County,27013,3600,10229,35021,10324,10212
Minnesota,Brown County,27015,1440,4241,9340,5178,5627
Minnesota,Carlton County,27017,1867,6149,14190,7617,6634
Minnesota,Carver County,27019,6557,21353,43383,22339,14990
Minnesota,Cass County,27021,1472,4769,9178,7031,8238
Minnesota,Chippewa County,27023,762,2157,4436,2382,2651
Minnesota,Chisago County,27025,3211,9756,22276,12675,9516
Minnesota,Clay County,27027,4297,11986,30071,10179,9095
Minnesota,Clearwater County,27029,525,1618,2929,1713,1794
Minnesota,Cook County,27031,216,630,1796,1290,1701
Minnesota,Cottonwood County,27033,724,2158,3904,2087,2585
Minnesota,Crow Wing County,27035,3369,10575,22881,14284,16004
Minnesota,Dakota County,27037,26965,79951,179958,87415,67915
Minnesota,Dodge County,27039,1328,4009,8366,4045,3214
Minnesota,Douglas County,27041,2261,6215,13553,7925,9400
Minnesota,Faribault County,27043,714,2333,4693,2944,3225
Minnesota,Fillmore County,27045,1214,4020,7250,4218,4644
Minnesota,Freeborn County,27047,1605,5150,10620,6371,7006
Minnesota,Goodhue County,27049,2629,7968,17450,10184,9613
Minnesota,Grant County,27051,343,1079,2060,1210,1416
Minnesota,Hennepin County,27053,75931,200436,568685,232039,191812
Minnesota,Houston County,27055,945,3114,6345,4014,4350
Minnesota,Hubbard County,27057,1130,3458,6732,4707,5673
Minnesota,Isanti County,27059,2425,7324,16194,8934,7057
Minnesota,Itasca County,27061,2208,6975,14896,9688,11374
Minnesota,Jackson County,27063,583,1617,3385,2089,2290
Minnesota,Kanabec County,27065,838,2635,5727,3579,3482
Minnesota,Kandiyohi County,27067,2895,7849,16107,8169,8737
Minnesota,Kittson County,27069,209,686,1271,899,1098
Minnesota,Koochiching County,27071,520,1599,3786,2746,3299
Minnesota,Lac qui Parle County,27073,349,1105,2051,1369,1820
Minnesota,Lake County,27075,489,1592,3412,2429,2989
Minnesota,Lake of the Woods County,27077,204,510,1168,947,971
Minnesota,Le Sueur County,27079,1638,5087,10669,6229,5313
Minnesota,Lincoln County,27081,322,964,1826,1127,1355
Minnesota,Lyon County,27083,1882,4757,9941,4550,4368
Minnesota,McLeod County,27085,1995,6188,13843,7512,7233
Minnesota,Mahnomen County,27087,426,1243,1806,956,940
Minnesota,Marshall County,27089,499,1601,3029,1810,2022
Minnesota,Martin County,27091,1116,3365,6620,4005,4758
Minnesota,Meeker County,27093,1337,4278,8128,4814,4865
Minnesota,Mille Lacs County,27095,1573,4723,9927,5748,4941
Minnesota,Morrison County,27097,1857,6055,12012,7190,7017
Minnesota,Mower County,27099,2612,7633,15519,6917,7388
Minnesota,Murray County,27101,410,1349,2589,1663,2108
Minnesota,Nicollet County,27103,1865,5569,14946,6064,5906
Minnesota,Nobles County,27105,1853,4442,8240,3720,3812
Minnesota,Norman County,27107,369,1122,2219,1321,1380
Minnesota,Olmsted County,27109,10382,29177,67948,29230,26688
Minnesota,Otter Tail County,27111,3236,9909,19191,12975,14970
Minnesota,Pennington County,27113,825,2255,5367,2818,2612
Minnesota,Pine County,27115,1356,4329,10528,6772,6426
Minnesota,Pipestone County,27117,674,1853,3121,1776,1928
Minnesota,Polk County,27119,1961,5658,11473,5984,5829
Minnesota,Pope County,27121,595,1835,3719,2365,2849
Minnesota,Ramsey County,27123,34863,91582,240539,93733,83721
Minnesota,Red Lake County,27125,235,718,1333,770,866
Minnesota,Redwood County,27127,985,2827,5267,2911,3393
Minnesota,Renville County,27129,822,2601,5016,3014,3134
Minnesota,Rice County,27131,3702,10882,29489,12249,11067
Minnesota,Rock County,27133,546,1819,3495,1840,1928
Minnesota,Roseau County,27135,820,2847,5326,3479,2829
Minnesota,St. Louis County,27137,9495,28027,81468,39392,41674
Minnesota,Scott County,27139,9358,30964,63727,30101,18807
Minnesota,Sherburne County,27141,6441,19349,41900,19576,11912
Minnesota,Sibley County,27143,862,2543,5407,3280,2841
Minnesota,Stearns County,27145,10183,27386,68681,27979,25129
Minnesota,Steele County,27147,2037,7167,13879,7336,6994
Minnesota,Stevens County,27149,594,1576,4447,1449,1620
Minnesota,Swift County,27151,546,1744,3320,1879,2298
Minnesota,Todd County,27153,1671,4538,8256,5290,5647
Minnesota,Traverse County,27155,211,504,1076,660,828
Minnesota,Wabasha County,27157,1216,3530,7159,4716,4898
Minnesota,Wadena County,27159,922,2755,4921,2701,2836
Minnesota,Waseca County,27161,1024,3351,7488,3585,3510
Minnesota,Washington County,27163,15388,50430,106830,55671,43979
Minnesota,Watonwan County,27165,842,2015,3897,2160,2255
Minnesota,Wilkin County,27167,405,1038,2299,1443,1228
Minnesota,Winona County,27169,2262,6615,22908,8868,9052
Minnesota,Wright County,27171,9708,30202,58272,27749,19339
Minnesota,Yellow Medicine County,27173,545,1651,3385,1931,1997
