STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Mississippi,Adams County,28001,1759,4536,10685,5847,6271
Mississippi,Alcorn County,28003,1810,5982,13264,6967,6477
Mississippi,Amite County,28005,614,1963,3953,2872,3209
Mississippi,Attala County,28007,1080,3368,6485,3327,3425
Mississippi,Benton County,28009,303,1267,2703,1705,1614
Mississippi,Bolivar County,28011,1972,5487,12176,5503,5025
Mississippi,Calhoun County,28013,698,2218,4732,2753,2628
Mississippi,Carroll County,28015,462,1274,3346,2339,2407
Mississippi,Chickasaw County,28017,1222,2986,6519,3139,3128
Mississippi,Choctaw County,28019,367,1375,2932,1630,1868
Mississippi,Claiborne County,28021,533,1408,3930,1349,1688
Mississippi,Clarke County,28023,922,2479,5485,3186,3352
Mississippi,Clay County,28025,1081,3094,7125,3580,3582
Mississippi,Coahoma County,28027,1533,4107,8026,3782,3360
Mississippi,Copiah County,28029,1714,4605,10977,5514,5184
Mississippi,Covington County,28031,1171,3217,7029,3598,3211
Mississippi,DeSoto County,28033,10913,36598,80715,35298,25074
Mississippi,Forrest County,28035,4930,12854,37194,12402,10647
Mississippi,Franklin County,28037,442,1329,2723,1548,1613
Mississippi,George County,28039,2020,4739,9657,4678,3776
Mississippi,Greene County,28041,769,1795,6283,2770,1978
Mississippi,Grenada County,28043,1315,3852,8090,4138,3947
Mississippi,Hancock County,28045,2239,6770,16149,10819,10080
Mississippi,Harrison County,28047,12996,36917,85879,39864,33787
Mississippi,Hinds County,28049,13817,38859,94291,40545,34982
Mississippi,Holmes County,28051,1060,3031,6564,3168,2668
Mississippi,Humphreys County,28053,447,1487,2703,1540,1393
Mississippi,Issaquena County,28055,0,72,492,318,213
Mississippi,Itawamba County,28057,1173,3930,10015,4588,4236
Mississippi,Jackson County,28059,8074,25185,57890,28939,24349
Mississippi,Jasper County,28061,958,2745,5844,3219,3445
Mississippi,Jefferson County,28063,370,1140,2670,1568,1379
Mississippi,Jefferson Davis County,28065,597,1625,3944,2341,2676
Mississippi,Jones County,28067,4440,12445,26186,12168,11600
Mississippi,Kemper County,28069,526,1084,3785,1566,1894
Mississippi,Lafayette County,28071,2824,7611,30450,8492,7543
Mississippi,Lamar County,28073,3886,12106,28027,11500,9562
Mississippi,Lauderdale County,28075,4346,12602,28258,13657,13121
Mississippi,Lawrence County,28077,753,2274,4292,2418,2146
Mississippi,Leake County,28079,1360,3621,8499,3985,3823
Mississippi,Lee County,28081,5315,15556,33766,15729,12772
Mississippi,Leflore County,28083,2086,5506,11039,4666,4135
Mississippi,Lincoln County,28085,1971,6109,13660,7055,6035
Mississippi,Lowndes County,28087,3753,10095,23727,10756,9856
Mississippi,Madison County,28089,6733,20286,45232,21667,16385
Mississippi,Marion County,28091,1423,4256,9263,4804,4557
Mississippi,Marshall County,28093,1945,5112,13443,7082,6317
Mississippi,Monroe County,28095,1910,5765,12794,6707,6752
Mississippi,Montgomery County,28097,389,1801,3457,1889,2172
Mississippi,Neshoba County,28099,2089,5859,10962,5178,4839
Mississippi,Newton County,28101,1348,3769,8442,3953,3639
Mississippi,Noxubee County,28103,738,1810,3864,1941,1783
Mississippi,Oktibbeha County,28105,2476,6525,29909,6442,6121
Mississippi,Panola County,28107,2180,5989,12672,6490,5634
Mississippi,Pearl River County,28109,3199,9748,21542,11344,10948
Mississippi,Perry County,28111,592,1937,4420,2332,2178
Mississippi,Pike County,28113,2635,7655,15358,7306,6976
Mississippi,Pontotoc County,28115,2128,6112,12367,5948,4757
Mississippi,Prentiss County,28117,1483,4089,10376,4700,4351
Mississippi,Quitman County,28119,359,1001,2283,1188,1077
Mississippi,Rankin County,28121,8655,27086,67183,29459,25835
Mississippi,Scott County,28123,2306,5461,10763,4800,4424
Mississippi,Sharkey County,28125,217,745,1434,730,722
Mississippi,Simpson County,28127,1523,4491,9904,5076,4823
Mississippi,Smith County,28129,895,2369,5161,2823,2945
Mississippi,Stone County,28131,959,3025,7744,3558,3229
Mississippi,Sunflower County,28133,1388,3993,11627,4580,3740
Mississippi,Tallahatchie County,28135,593,1906,5446,2307,2111
Mississippi,Tate County,28137,1638,4747,11665,5455,4630
Mississippi,Tippah County,28139,1257,3876,8604,4206,3678
Mississippi,Tishomingo County,28141,994,3042,6893,3889,3920
Mississippi,Tunica County,28143,798,1912,3915,1633,1328
Mississippi,Union County,28145,1814,5270,11157,5155,4613
Mississippi,Walthall County,28147,781,2352,5238,2673,2820
Mississippi,Warren County,28149,2667,7737,16644,8664,7911
Mississippi,Washington County,28151,2922,8204,16384,8495,7669
Mississippi,Wayne County,28153,1281,3602,7533,3804,3479
Mississippi,Webster County,28155,622,1785,3601,2071,1863
Mississippi,Wilkinson County,28157,358,1370,3367,1701,1580
Mississippi,Winston County,28159,976,2925,6527,3460,3721
Mississippi,Yalobusha County,28161,776,1931,4520,2546,2666
Mississippi,Yazoo County,28163,1477,4344,12801,4452,3763
