STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Missouri,Adair County,29001,1421,3277,12900,3803,3823
Missouri,Andrew County,29003,975,3111,6571,3707,3722
Missouri,Atchison County,29005,235,854,1707,1103,1317
Missouri,Audrain County,29007,1541,4080,9632,4852,4583
Missouri,Barry County,29009,2050,5909,12168,7088,7616
Missouri,Barton County,29011,670,2088,4188,2306,2433
Missouri,Bates County,29013,923,2843,5894,3360,3101
Missouri,Benton County,29015,814,2596,5464,4830,6183
Missouri,Bollinger County,29017,583,1738,3680,2400,2190
Missouri,Boone County,29019,10159,27613,94801,28971,24330
Missouri,Buchanan County,29021,4991,13773,34329,16427,14335
Missouri,Butler County,29023,2684,7123,15855,8381,8123
Missouri,Caldwell County,29025,480,1626,3150,1855,1779
Missouri,Callaway County,29027,2427,6854,18558,8969,7733
Missouri,Camden County,29029,1938,5602,12762,10558,12556
Missouri,Cape Girardeau County,29031,4658,12975,35749,14626,14172
Missouri,Carroll County,29033,418,1450,3003,1727,1861
Missouri,Carter County,29035,349,927,1817,1115,1061
Missouri,Cass County,29037,6238,19699,42212,22136,19108
Missouri,Cedar County,29039,1008,2487,4550,2986,3409
Missouri,Chariton County,29041,459,1257,2339,1500,1851
Missouri,Christian County,29043,5547,17512,36251,17044,14875
Missouri,Clark County,29045,399,1187,2271,1422,1401
Missouri,Clay County,29047,15524,45291,109373,47317,38061
Missouri,Clinton County,29049,1150,3750,7811,4632,3916
Missouri,Cole County,29051,4460,12639,31783,14549,13493
Missouri,Cooper County,29053,1049,2745,6495,3329,3217
Missouri,Crawford County,29055,1321,3788,8170,4866,4745
Missouri,Dade County,29057,379,1213,2520,1650,1865
Missouri,Dallas County,29059,1152,3023,5992,3572,3605
Missouri,Daviess County,29061,575,1523,2914,1644,1793
Missouri,DeKalb County,29063,516,1589,4629,2350,2092
Missouri,Dent County,29065,824,2454,4913,3156,3159
Missouri,Douglas County,29067,645,2054,3713,2481,2957
Missouri,Dunklin County,29069,1854,5334,10198,5271,5138
Missouri,Franklin County,29071,6091,17677,38999,23032,19517
Missouri,Gasconade County,29073,736,2270,5070,3317,3381
Missouri,Gentry County,29075,428,1142,2218,1270,1166
Missouri,Greene County,29077,16923,46157,135463,51834,50744
Missouri,Grundy County,29079,714,1800,3328,1844,2136
Missouri,Harrison County,29081,550,1506,2722,1594,1826
Missouri,Henry County,29083,1283,3674,7704,4591,4942
Missouri,Hickory County,29085,341,1147,2208,2049,2756
Missouri,Holt County,29087,219,644,1353,940,1098
Missouri,Howard County,29089,573,1665,4003,1881,2019
Missouri,Howell County,29091,2417,7357,14685,7732,7977
Missouri,Iron County,29093,475,1527,3264,2093,2123
Missouri,Jackson County,29095,44687,123705,305597,131641,111391
Missouri,Jasper County,29097,7983,22670,51672,21637,19570
Missouri,Jefferson County,29099,12861,39135,90523,48938,36770
Missouri,Johnson County,29101,3444,8544,26751,8579,7013
Missouri,Knox County,29103,301,628,1265,776,790
Missouri,Laclede County,29105,2386,6603,13413,7333,6510
Missouri,Lafayette County,29107,1814,5789,12271,6860,6240
Missouri,Lawrence County,29109,2523,7251,14380,7292,6946
Missouri,Lewis County,29111,500,1634,4008,1926,1877
Missouri,Lincoln County,29113,4165,11407,24816,12433,8815
Missouri,Linn County,29115,651,2159,4142,2383,2515
Missouri,Livingston County,29117,766,2383,5767,2556,2858
Missouri,McDonald County,29119,1523,4490,8961,4812,3706
Missouri,Macon County,29121,800,2765,5257,3018,3323
Missouri,Madison County,29123,629,2346,4656,2628,2406
Missouri,Maries County,29125,407,1308,2953,1892,1875
