"fips","0-4","5-17","18-49","50-64","65+"
"00000","2000","2000","2000","2000","2000"
"10000","2000","2000","2000","2000","2000"
"20000","2000","2000","2000","2000","2000"
"30000","2000","2000","2000","2000","2000"
"40000","2000","2000","2000","2000","2000"
"50000","2000","2000","2000","2000","2000"
"60000","2000","2000","2000","2000","2000"
"70000","2000","2000","2000","2000","2000"
"80000","2000","2000","2000","2000","2000"
"90000","2000","2000","2000","2000","2000"
"10000","2000","2000","2000","2000","2000"
"11000","2000","2000","2000","2000","2000"
"12000","2000","2000","2000","2000","2000"
"13000","2000","2000","2000","2000","2000"
"14000","2000","2000","2000","2000","2000"
"15000","2000","2000","2000","2000","2000"
"16000","2000","2000","2000","2000","2000"
"17000","2000","2000","2000","2000","2000"
"18000","2000","2000","2000","2000","2000"
"19000","2000","2000","2000","2000","2000"
"20000","2000","2000","2000","2000","2000"
"21000","2000","2000","2000","2000","2000"
"22000","2000","2000","2000","2000","2000"
"23000","2000","2000","2000","2000","2000"
"24000","2000","2000","2000","2000","2000"
"25000","2000","2000","2000","2000","2000"
"26000","2000","2000","2000","2000","2000"
"27000","2000","2000","2000","2000","2000"
"28000","2000","2000","2000","2000","2000"
"29000","2000","2000","2000","2000","2000"
"30000","2000","2000","2000","2000","2000"
"31000","2000","2000","2000","2000","2000"
"32000","2000","2000","2000","2000","2000"
"33000","2000","2000","2000","2000","2000"
"34000","2000","2000","2000","2000","2000"
"35000","2000","2000","2000","2000","2000"
"36000","2000","2000","2000","2000","2000"
"37000","2000","2000","2000","2000","2000"
"38000","2000","2000","2000","2000","2000"
"39000","2000","2000","2000","2000","2000"
"40000","2000","2000","2000","2000","2000"
"41000","2000","2000","2000","2000","2000"
"42000","2000","2000","2000","2000","2000"
"43000","2000","2000","2000","2000","2000"
"44000","2000","2000","2000","2000","2000"
"45000","2000","2000","2000","2000","2000"
"46000","2000","2000","2000","2000","2000"
"47000","2000","2000","2000","2000","2000"
"48000","2000","2000","2000","2000","2000"
"49000","2000","2000","2000","2000","2000"
"50000","2000","2000","2000","2000","2000"
"51000","2000","2000","2000","2000","2000"
"52000","2000","2000","2000","2000","2000"
"53000","2000","2000","2000","2000","2000"
"54000","2000","2000","2000","2000","2000"
"55000","2000","2000","2000","2000","2000"
"56000","2000","2000","2000","2000","2000"
"57000","2000","2000","2000","2000","2000"
"58000","2000","2000","2000","2000","2000"
"59000","2000","2000","2000","2000","2000"
"60000","2000","2000","2000","2000","2000"
"61000","2000","2000","2000","2000","2000"
"62000","2000","2000","2000","2000","2000"
"63000","2000","2000","2000","2000","2000"
"64000","2000","2000","2000","2000","2000"
"65000","2000","2000","2000","2000","2000"
"66000","2000","2000","2000","2000","2000"
"67000","2000","2000","2000","2000","2000"
"68000","2000","2000","2000","2000","2000"
"69000","2000","2000","2000","2000","2000"
"70000","2000","2000","2000","2000","2000"
"71000","2000","2000","2000","2000","2000"
"72000","2000","2000","2000","2000","2000"
"73000","2000","2000","2000","2000","2000"
"74000","2000","2000","2000","2000","2000"
"75000","2000","2000","2000","2000","2000"
"76000","2000","2000","2000","2000","2000"
"77000","2000","2000","2000","2000","2000"
"78000","2000","2000","2000","2000","2000"
"79000","2000","2000","2000","2000","2000"
"80000","2000","2000","2000","2000","2000"
"81000","2000","2000","2000","2000","2000"
"82000","2000","2000","2000","2000","2000"
"83000","2000","2000","2000","2000","2000"
"84000","2000","2000","2000","2000","2000"
"85000","2000","2000","2000","2000","2000"
"86000","2000","2000","2000","2000","2000"
"87000","2000","2000","2000","2000","2000"
"88000","2000","2000","2000","2000","2000"
"89000","2000","2000","2000","2000","2000"
"90000","2000","2000","2000","2000","2000"
"91000","2000","2000","2000","2000","2000"
"92000","2000","2000","2000","2000","2000"
"93000","2000","2000","2000","2000","2000"
"94000","2000","2000","2000","2000","2000"
"95000","2000","2000","2000","2000","2000"
"96000","2000","2000","2000","2000","2000"
"97000","2000","2000","2000","2000","2000"
"98000","2000","2000","2000","2000","2000"
"99000","2000","2000","2000","2000","2000"
