STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
New Hampshire,Belknap County,33001,2576,8801,22080,15817,15026
New Hampshire,Carroll County,33003,1748,5985,15051,13050,15425
New Hampshire,Cheshire County,33005,3460,10350,29758,16735,16642
New Hampshire,Coos County,33007,1176,3854,10712,7729,7915
New Hampshire,Grafton County,33009,3512,11039,37092,19471,20645
New Hampshire,Hillsborough County,33011,21538,63010,175799,93326,71059
New Hampshire,Merrimack County,33013,6964,21865,62370,33844,29975
New Hampshire,Rockingham County,33015,14428,45128,119216,76386,62005
New Hampshire,Strafford County,33017,5865,17756,59766,26585,21771
New Hampshire,Sullivan County,33019,1938,5913,15215,10401,10062
