STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
New Jersey,Atlantic County,34001,14330,43285,104216,59984,52889
New Jersey,Bergen County,34003,48738,152091,378270,205270,170348
New Jersey,Burlington County,34005,23548,72498,184023,101032,83125
New Jersey,Camden County,34007,31250,88256,215874,103691,84971
New Jersey,Cape May County,34009,4131,12388,29545,21940,27232
New Jersey,Cumberland County,34011,9425,27838,63301,28545,23806
New Jersey,Essex County,34013,53778,148541,370077,162351,119383
New Jersey,Gloucester County,34015,15345,49832,125270,63946,50111
New Jersey,Hudson County,34017,45876,96422,360954,118809,88417
New Jersey,Hunterdon County,34019,5641,19207,45893,32634,26073
New Jersey,Mercer County,34021,21529,62515,162545,76685,60012
New Jersey,Middlesex County,34023,46940,139545,368702,170460,135888
New Jersey,Monmouth County,34025,32114,103353,240086,148574,119488
New Jersey,Morris County,34027,25471,80690,198210,115245,90759
New Jersey,Ocean County,34029,47219,113780,217106,123610,144719
New Jersey,Passaic County,34031,33069,89785,214506,100542,80387
New Jersey,Salem County,34033,3598,10623,24686,13772,12294
New Jersey,Somerset County,34035,17145,56952,136546,78225,57335
New Jersey,Sussex County,34037,6812,21582,54508,35441,26774
New Jersey,Union County,34039,35338,99438,237593,115336,84844
New Jersey,Warren County,34041,5103,16301,41493,26380,20961
