STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
New York,Albany County,36001,14928,42505,142150,59659,56132
New York,Allegany County,36003,2396,6948,19410,8994,9279
New York,Bronx County,36005,95128,252235,615851,258334,197702
New York,Broome County,36007,9700,28453,81982,38230,39373
New York,Cattaraugus County,36009,4235,12601,27874,16267,15502
New York,Cayuga County,36011,3656,11073,28428,16798,15509
New York,Chautauqua County,36013,6686,19434,47128,26606,26475
New York,Chemung County,36015,4336,13196,31567,17210,16496
New York,Chenango County,36017,2408,7259,16380,10519,10119
New York,Clinton County,36019,3545,10835,33249,16885,14447
New York,Columbia County,36021,2400,7574,21172,14531,15568
New York,Cortland County,36023,2183,6504,21086,8859,7769
New York,Delaware County,36025,1807,5421,15654,10227,11442
New York,Dutchess County,36027,13613,41729,120244,66195,55363
New York,Erie County,36029,50387,142166,384583,194232,178676
New York,Essex County,36031,1399,4478,12907,8768,9525
New York,Franklin County,36033,2291,7265,18514,10094,8902
New York,Fulton County,36035,2460,8175,19612,11794,10746
New York,Genesee County,36037,3002,8840,21890,12842,11369
New York,Greene County,36039,2030,5744,17632,10999,11149
New York,Hamilton County,36041,159,507,1384,1381,1671
New York,Herkimer County,36043,2912,9424,21429,13222,12945
New York,Jefferson County,36045,8543,19298,52288,19003,16998
New York,Kings County,36047,175887,419150,1204333,450866,396070
New York,Lewis County,36049,1582,4568,9458,5723,5287
New York,Livingston County,36051,2714,8367,25248,13269,11990
New York,Madison County,36053,3115,9436,26741,14947,13333
New York,Monroe County,36055,39828,115158,310835,150495,137752
New York,Montgomery County,36057,3049,8374,18712,9950,9376
New York,Nassau County,36059,74107,226032,539037,295674,253288
New York,New York County,36061,69934,159585,818044,290885,289340
New York,Niagara County,36063,10743,31493,79673,46819,42613
New York,Oneida County,36065,12713,36829,88731,46836,44536
New York,Onondaga County,36067,25989,73606,191176,95059,85781
New York,Ontario County,36069,5215,16687,41596,24716,24191
New York,Orange County,36071,27143,76597,163699,78456,57945
New York,Orleans County,36073,1852,5739,15086,9467,7542
New York,Oswego County,36075,6194,18226,47025,25925,20575
New York,Otsego County,36077,2401,6708,26068,11861,12700
New York,Putnam County,36079,4521,14659,37305,23182,18321
New York,Queens County,36081,130458,330477,993797,475612,399780
New York,Rensselaer County,36083,7895,22947,67815,33034,28650
New York,Richmond County,36085,26826,80517,199418,103070,82903
New York,Rockland County,36087,28957,70776,126154,60214,52835
New York,St. Lawrence County,36089,5287,16401,44635,21659,19814
New York,Saratoga County,36091,11066,34841,92795,52426,45947
New York,Schenectady County,36093,9253,25191,65632,31436,28091
New York,Schoharie County,36095,1283,3962,11159,6591,6984
New York,Schuyler County,36097,845,2529,6133,4247,3995
New York,Seneca County,36099,1819,4960,12362,7102,6882
New York,Steuben County,36101,5080,15020,33855,20184,18895
New York,Suffolk County,36103,81002,238322,599848,339975,266533
New York,Sullivan County,36105,4656,12291,30207,16935,15058
New York,Tioga County,36107,2479,7362,17155,10907,10203
New York,Tompkins County,36109,3712,11276,55106,16291,16494
New York,Ulster County,36111,7926,23710,72335,40331,37807
New York,Warren County,36113,2769,8837,23384,15116,15454
New York,Washington County,36115,2771,8532,22852,14010,12718
New York,Wayne County,36117,4957,14374,32607,20800,18390
New York,Westchester County,36119,53282,161457,395845,209676,176628
New York,Wyoming County,36121,1890,5587,15731,8836,7936
New York,Yates County,36123,1557,4069,8565,5054,5392
