STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
North Carolina,Alamance County,37001,9957,28824,71677,34314,29514
North Carolina,Alexander County,37003,1781,5358,13904,7897,7500
North Carolina,Alleghany County,37005,465,1373,3421,2524,3292
North Carolina,Anson County,37007,1145,3292,8673,4431,4362
North Carolina,Ashe County,37009,1034,3518,8949,6094,7236
North Carolina,Avery County,37011,674,1896,7126,3888,4059
North Carolina,Beaufort County,37013,2111,6538,15146,9672,11130
North Carolina,Bertie County,37015,712,2151,6594,3780,4245
North Carolina,Bladen County,37017,1440,4666,10501,6126,6858
North Carolina,Brunswick County,37019,5377,15570,41629,34796,48517
North Carolina,Buncombe County,37021,12489,36650,112887,53192,56572
North Carolina,Burke County,37023,4216,12089,33240,19659,18659
North Carolina,Cabarrus County,37025,14153,44532,98087,43511,30979
North Carolina,Caldwell County,37027,3959,12080,29472,18047,17060
North Carolina,Camden County,37029,592,2016,4225,2196,1714
North Carolina,Carteret County,37031,2577,9130,22457,16437,18051
North Carolina,Caswell County,37033,1054,3102,8415,5022,5096
North Carolina,Catawba County,37035,8762,26669,62433,34330,29857
North Carolina,Chatham County,37037,3568,11846,26179,17195,19531
North Carolina,Cherokee County,37039,1118,3581,8557,6813,9128
North Carolina,Chowan County,37041,630,2065,4477,2872,3770
North Carolina,Clay County,37043,510,1338,3216,2648,3679
North Carolina,Cleveland County,37045,5807,16559,38119,20911,18774
North Carolina,Columbus County,37047,2645,7797,19273,10428,10310
North Carolina,Craven County,37049,6143,15755,39850,18651,20675
North Carolina,Cumberland County,37051,24819,59797,157135,52254,42744
North Carolina,Currituck County,37053,1470,5084,10919,7033,5106
North Carolina,Dare County,37055,1543,5259,12659,8965,9108
North Carolina,Davidson County,37057,9159,28121,64449,37494,31840
North Carolina,Davie County,37059,2149,7001,15274,9632,9470
North Carolina,Duplin County,37061,3058,8576,18052,9728,9639
North Carolina,Durham County,37063,19813,46537,160623,56193,46239
North Carolina,Edgecombe County,37065,2817,8367,17635,9976,9982
North Carolina,Forsyth County,37067,22235,65979,159477,74815,64234
North Carolina,Franklin County,37069,4019,11725,28474,15468,12276
North Carolina,Gaston County,37071,13413,38814,94151,47349,37758
North Carolina,Gates County,37073,370,1665,3479,2627,2296
North Carolina,Graham County,37075,312,1167,2925,1641,1996
North Carolina,Granville County,37077,3166,9481,24368,13810,10614
North Carolina,Greene County,37079,975,2889,9114,3983,3460
North Carolina,Guilford County,37081,30540,89785,235601,102228,84833
North Carolina,Halifax County,37083,2634,7617,17369,10173,10426
North Carolina,Harnett County,37085,9624,25367,59751,23461,18300
North Carolina,Haywood County,37087,2630,8505,21674,13796,15827
North Carolina,Henderson County,37089,5429,16849,40092,24465,30552
North Carolina,Hertford County,37091,939,2939,8051,4197,4366
North Carolina,Hoke County,37093,4290,10142,23722,8894,6054
North Carolina,Hyde County,37095,124,721,1563,1163,1054
North Carolina,Iredell County,37097,10242,32906,75888,41219,31545
North Carolina,Jackson County,37099,1625,5561,19318,7786,8799
North Carolina,Johnston County,37101,13793,43159,94244,44812,30615
North Carolina,Jones County,37103,470,1230,3195,2148,2202
North Carolina,Lee County,37105,3987,11435,25368,12878,10897
North Carolina,Lenoir County,37107,3138,9322,19593,11288,11576
North Carolina,Lincoln County,37109,4557,14212,33956,20466,17168
North Carolina,McDowell County,37111,2056,6762,16914,9690,9257
North Carolina,Macon County,37113,1660,5117,11974,7950,10832
North Carolina,Madison County,37115,965,2829,8396,4445,5005
North Carolina,Martin County,37117,1070,3352,7313,4594,5444
North Carolina,Mecklenburg County,37119,72625,188238,538584,199178,132281
North Carolina,Mitchell County,37121,669,2009,5140,3343,3812
North Carolina,Montgomery County,37123,1311,4082,9379,5457,5645
North Carolina,Moore County,37125,6003,16372,36846,18888,24731
North Carolina,Nash County,37127,5372,15717,36487,19785,18090
North Carolina,New Hanover County,37129,10780,31392,101378,44424,43240
North Carolina,Northampton County,37131,832,2253,5225,3993,4909
North Carolina,Onslow County,37133,16720,34051,112771,24688,20307
North Carolina,Orange County,37135,6168,22343,68913,26767,23101
North Carolina,Pamlico County,37137,420,1332,3755,3033,3775
North Carolina,Pasquotank County,37139,2483,6339,16937,7689,7382
North Carolina,Pender County,37141,3461,10808,24366,13391,11449
North Carolina,Perquimans County,37143,598,1871,4010,2935,3732
North Carolina,Person County,37145,2070,6063,14254,8638,8250
North Carolina,Pitt County,37147,9709,27341,82164,28453,24612
North Carolina,Polk County,37149,700,2366,5782,4529,6312
North Carolina,Randolph County,37151,8177,24387,55159,31230,26369
North Carolina,Richmond County,37153,2601,7510,16609,8452,7646
North Carolina,Robeson County,37155,7975,21863,46922,21608,18490
North Carolina,Rockingham County,37157,4582,14150,33253,20592,19008
North Carolina,Rowan County,37159,8352,24748,58495,30886,26006
North Carolina,Rutherford County,37161,3241,9897,23013,14365,14334
North Carolina,Sampson County,37163,3755,10735,22498,11621,10636
North Carolina,Scotland County,37165,2189,5545,14006,6479,6134
North Carolina,Stanly County,37167,3568,10235,24651,13001,12102
North Carolina,Stokes County,37169,1872,6495,15717,10706,10099
North Carolina,Surry County,37171,3736,11365,26101,15486,14719
North Carolina,Swain County,37173,683,2417,5436,2758,2771
North Carolina,Transylvania County,37175,1324,3936,10740,6996,10247
North Carolina,Tyrrell County,37177,170,390,1403,551,862
North Carolina,Union County,37179,13362,50347,98829,50036,32401
North Carolina,Vance County,37181,2777,7411,15749,8466,7958
North Carolina,Wake County,37183,67090,202173,524764,212928,144054
North Carolina,Warren County,37185,822,2569,6193,4120,5047
North Carolina,Washington County,37187,241,1777,3523,2380,2984
North Carolina,Watauga County,37189,1623,5146,29899,8801,9138
North Carolina,Wayne County,37191,7523,20382,47682,22328,19691
North Carolina,Wilkes County,37193,3270,9933,23763,14036,14981
North Carolina,Wilson County,37195,4639,13467,30000,15604,14938
North Carolina,Yadkin County,37197,1857,5897,13456,8453,7756
North Carolina,Yancey County,37199,953,2491,6268,4018,4946
