STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
North Dakota,Adams County,38001,133,342,613,478,613
North Dakota,Barnes County,38003,475,1657,4067,2139,2456
North Dakota,Benson County,38005,560,1422,1995,982,902
North Dakota,Billings County,38007,62,105,344,181,256
North Dakota,Bottineau County,38009,374,1050,2128,1253,1585
North Dakota,Bowman County,38011,195,520,981,540,699
North Dakota,Burke County,38013,113,458,699,434,459
North Dakota,Burleigh County,38015,6077,17176,41051,17474,17208
North Dakota,Cass County,38017,12178,30188,94791,27975,24154
North Dakota,Cavalier County,38019,245,604,1043,771,1000
North Dakota,Dickey County,38021,284,897,1862,944,972
North Dakota,Divide County,38023,153,342,665,480,534
North Dakota,Dunn County,38025,349,681,1446,813,754
North Dakota,Eddy County,38027,105,359,751,482,622
North Dakota,Emmons County,38029,166,444,985,731,943
North Dakota,Foster County,38031,186,551,1138,719,778
North Dakota,Golden Valley County,38033,110,260,523,362,424
North Dakota,Grand Forks County,38035,4581,10875,36606,10507,10195
North Dakota,Grant County,38037,107,397,659,456,657
North Dakota,Griggs County,38039,124,414,616,512,674
North Dakota,Hettinger County,38041,150,314,875,471,643
North Dakota,Kidder County,38043,160,405,678,492,639
North Dakota,LaMoure County,38045,263,695,1245,798,1106
North Dakota,Logan County,38047,126,249,550,410,513
North Dakota,McHenry County,38049,273,980,1748,1115,1148
North Dakota,McIntosh County,38051,118,343,717,555,779
North Dakota,McKenzie County,38053,1356,3105,6188,2326,1305
North Dakota,McLean County,38055,495,1613,3119,2069,2511
North Dakota,Mercer County,38057,481,1454,2825,1757,1824
North Dakota,Morton County,38059,1987,5926,13882,6056,5628
North Dakota,Mountrail County,38061,771,1960,3899,1688,1249
North Dakota,Nelson County,38063,142,477,869,687,840
North Dakota,Oliver County,38065,129,347,492,383,470
North Dakota,Pembina County,38067,364,1090,2224,1376,1733
North Dakota,Pierce County,38069,205,647,1363,770,976
North Dakota,Ramsey County,38071,773,1928,4140,2212,2510
North Dakota,Ransom County,38073,315,967,2013,1145,1222
North Dakota,Renville County,38075,104,413,809,495,456
North Dakota,Richland County,38077,908,2715,6607,3081,3239
North Dakota,Rolette County,38079,936,3015,4478,2066,1570
North Dakota,Sargent County,38081,222,559,1378,796,867
North Dakota,Sheridan County,38083,60,163,414,270,420
North Dakota,Sioux County,38085,316,995,1470,659,349
North Dakota,Slope County,38087,14,127,229,206,219
North Dakota,Stark County,38089,2734,6443,14078,5406,4455
North Dakota,Steele County,38091,105,259,554,314,499
North Dakota,Stutsman County,38093,1256,3267,8453,4220,4329
North Dakota,Towner County,38095,117,411,515,543,527
North Dakota,Traill County,38097,472,1305,3008,1596,1599
North Dakota,Walsh County,38099,625,1838,3390,2375,2260
North Dakota,Ward County,38101,4946,11802,32346,10683,9455
North Dakota,Wells County,38103,255,668,1129,881,1009
North Dakota,Williams County,38105,3617,8198,17938,5729,3886
