STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Oklahoma,Adair County,40001,1343,3829,7494,3830,3099
Oklahoma,Alfalfa County,40003,244,843,2254,1209,1135
Oklahoma,Atoka County,40005,695,2383,5890,2614,2673
Oklahoma,Beaver County,40007,292,983,1827,961,978
Oklahoma,Beckham County,40009,1342,3911,9795,3920,3234
Oklahoma,Blaine County,40011,490,1601,3084,1743,1685
Oklahoma,Bryan County,40013,3019,8107,19511,8400,8200
Oklahoma,Caddo County,40015,1588,4581,11509,4782,4166
Oklahoma,Canadian County,40017,10508,31597,71460,27167,21889
Oklahoma,Carter County,40019,3193,8926,19008,8963,8165
Oklahoma,Cherokee County,40021,2579,7516,20651,8540,8335
Oklahoma,Choctaw County,40023,994,2533,4980,2829,2963
Oklahoma,Cimarron County,40025,162,391,801,330,563
Oklahoma,Cleveland County,40027,14563,47216,143499,49253,43014
Oklahoma,Coal County,40029,371,897,1903,997,1107
Oklahoma,Comanche County,40031,8050,21033,56473,19855,16288
Oklahoma,Cotton County,40033,259,983,1878,1313,1042
Oklahoma,Craig County,40035,724,2479,5412,2899,2701
Oklahoma,Creek County,40037,4213,12723,27595,14590,13232
Oklahoma,Custer County,40039,1798,5296,12862,4337,4039
Oklahoma,Delaware County,40041,1972,6198,13669,8821,10357
Oklahoma,Dewey County,40043,280,941,1530,840,842
Oklahoma,Ellis County,40045,195,645,1309,699,869
Oklahoma,Garfield County,40047,4251,11965,25500,10243,10363
Oklahoma,Garvin County,40049,1537,4914,9907,4793,4628
Oklahoma,Grady County,40051,3031,10075,22363,11044,9355
Oklahoma,Grant County,40053,244,722,1426,812,933
Oklahoma,Greer County,40055,284,833,2289,1135,957
Oklahoma,Harmon County,40057,119,455,926,456,496
Oklahoma,Harper County,40059,208,570,1102,693,658
Oklahoma,Haskell County,40061,689,2058,4286,2269,2365
Oklahoma,Hughes County,40063,781,2119,5614,2391,2506
Oklahoma,Jackson County,40065,1743,4461,10605,4103,3818
Oklahoma,Jefferson County,40067,298,1049,1844,1066,1120
Oklahoma,Johnston County,40069,603,1839,4009,1971,1912
Oklahoma,Kay County,40071,2746,8155,16591,7855,8384
Oklahoma,Kingfisher County,40073,938,3154,5967,2637,2592
Oklahoma,Kiowa County,40075,562,1512,2811,1807,1766
Oklahoma,Latimer County,40077,568,1524,3532,1846,2025
Oklahoma,Le Flore County,40079,3068,8803,18930,9248,8679
Oklahoma,Lincoln County,40081,1822,6160,12456,7009,6470
Oklahoma,Logan County,40083,2707,8663,20891,10061,8583
Oklahoma,Love County,40085,607,1869,3934,1932,1854
Oklahoma,McClain County,40087,2389,8695,17646,8299,6750
Oklahoma,McCurtain County,40089,2122,5937,11603,5669,5494
Oklahoma,McIntosh County,40091,974,2854,6344,4225,4840
Oklahoma,Major County,40093,452,1502,2660,1428,1614
Oklahoma,Marshall County,40095,1008,2608,5480,3083,3449
Oklahoma,Mayes County,40097,2271,6959,14978,7830,7368
Oklahoma,Murray County,40099,791,2353,5110,2759,2794
Oklahoma,Muskogee County,40101,4207,12040,26891,12013,11320
Oklahoma,Noble County,40103,591,1931,3855,2175,2357
Oklahoma,Nowata County,40105,641,1515,3401,1962,1873
Oklahoma,Okfuskee County,40107,609,1936,4375,2321,2063
Oklahoma,Oklahoma County,40109,55349,148907,347817,134938,113476
Oklahoma,Okmulgee County,40111,2114,6623,14397,6999,6789
Oklahoma,Osage County,40113,2201,7568,16895,9696,9603
Oklahoma,Ottawa County,40115,1998,5676,11711,5486,5489
Oklahoma,Pawnee County,40117,909,2762,5728,3192,3098
Oklahoma,Payne County,40119,3944,11392,45732,10479,10743
Oklahoma,Pittsburg County,40121,2528,7446,16643,8316,8696
Oklahoma,Pontotoc County,40123,2479,7032,15484,6684,6479
Oklahoma,Pottawatomie County,40125,4212,12791,30273,13700,12035
Oklahoma,Pushmataha County,40127,568,1761,3693,2326,2439
Oklahoma,Roger Mills County,40129,168,659,1155,653,743
Oklahoma,Rogers County,40131,5525,17041,38633,19592,16444
Oklahoma,Seminole County,40133,1428,4309,8997,4519,4297
Oklahoma,Sequoyah County,40135,2514,6968,14835,8012,7347
Oklahoma,Stephens County,40137,2473,7503,15859,8646,8833
Oklahoma,Texas County,40139,1604,4481,8901,3374,2520
Oklahoma,Tillman County,40141,404,1278,2443,1444,1398
Oklahoma,Tulsa County,40143,45237,124687,287344,116350,100090
Oklahoma,Wagoner County,40145,4782,15312,34204,15788,14253
Oklahoma,Washington County,40147,3154,9543,20023,9583,10592
Oklahoma,Washita County,40149,618,1997,3914,2258,2070
Oklahoma,Woods County,40151,423,1372,4047,1276,1501
Oklahoma,Woodward County,40153,1279,3787,8510,3407,3277
