STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
South Dakota,Aurora County,46003,164,466,926,478,539
South Dakota,Beadle County,46005,1558,3924,6878,3396,3523
South Dakota,Bennett County,46007,287,867,1305,383,512
South Dakota,Bon Homme County,46009,336,962,2852,1379,1495
South Dakota,Brookings County,46011,2010,5369,18341,4601,4647
South Dakota,Brown County,46013,2222,6867,15089,7193,6708
South Dakota,Brule County,46015,300,983,1834,1078,1066
South Dakota,Buffalo County,46017,213,424,699,257,164
South Dakota,Butte County,46019,663,1888,3732,2175,2080
South Dakota,Campbell County,46021,84,226,374,377,420
South Dakota,Charles Mix County,46023,786,2073,3105,1604,1713
South Dakota,Clark County,46025,339,791,1158,682,906
South Dakota,Clay County,46027,758,1908,8679,1945,1843
South Dakota,Codington County,46029,1564,5111,10955,5496,5430
South Dakota,Corson County,46031,393,979,1359,631,497
South Dakota,Custer County,46033,334,868,2394,2263,2827
South Dakota,Davison County,46035,1353,3369,7632,3538,4044
South Dakota,Day County,46037,281,970,1646,1128,1435
South Dakota,Deuel County,46039,255,793,1483,841,946
South Dakota,Dewey County,46041,577,1391,1935,809,518
South Dakota,Douglas County,46043,225,514,849,574,661
South Dakota,Edmunds County,46045,354,620,1259,896,904
South Dakota,Fall River County,46047,303,910,2013,1733,2220
South Dakota,Faulk County,46049,92,438,712,373,522
South Dakota,Grant County,46051,410,1240,2643,1512,1739
South Dakota,Gregory County,46053,234,741,1226,763,1029
South Dakota,Haakon County,46055,103,271,545,304,485
South Dakota,Hamlin County,46057,628,1459,2291,1019,891
South Dakota,Hand County,46059,181,561,1011,541,751
South Dakota,Hanson County,46061,267,755,1214,685,552
South Dakota,Harding County,46063,63,174,314,322,219
South Dakota,Hughes County,46065,951,3410,6789,3464,3118
South Dakota,Hutchinson County,46067,593,1356,2403,1436,1605
South Dakota,Hyde County,46069,95,171,374,319,346
South Dakota,Jackson County,46071,245,712,966,550,353
South Dakota,Jerauld County,46073,111,321,549,327,537
South Dakota,Jones County,46075,141,187,351,128,223
South Dakota,Kingsbury County,46077,348,972,1667,1027,1196
South Dakota,Lake County,46079,488,1686,4043,2232,2603
South Dakota,Lawrence County,46081,1019,3447,10326,5369,6413
South Dakota,Lincoln County,46083,4378,14051,29380,10760,9717
South Dakota,Lyman County,46085,306,745,1330,667,669
South Dakota,McCook County,46087,453,1171,1985,1066,1057
South Dakota,McPherson County,46089,133,350,672,422,701
South Dakota,Marshall County,46091,314,722,1423,911,985
South Dakota,Meade County,46093,1571,4999,13249,5541,4937
South Dakota,Mellette County,46095,156,490,777,310,310
South Dakota,Miner County,46097,113,357,733,517,579
South Dakota,Minnehaha County,46099,14412,36856,86624,35479,27318
South Dakota,Moody County,46101,462,1251,2093,1289,1276
South Dakota,Oglala Lakota County,46102,1253,3652,5732,1989,961
South Dakota,Pennington County,46103,6765,18154,42930,22239,21993
South Dakota,Perkins County,46105,219,480,1035,526,798
South Dakota,Potter County,46107,140,410,745,457,678
South Dakota,Roberts County,46109,775,2069,3388,1886,2101
South Dakota,Sanborn County,46111,191,467,782,455,475
South Dakota,Spink County,46115,416,970,2053,1345,1499
South Dakota,Stanley County,46117,97,552,995,693,675
South Dakota,Sully County,46119,69,218,448,393,353
South Dakota,Todd County,46121,1013,2637,3758,1161,724
South Dakota,Tripp County,46123,377,905,1804,1176,1345
South Dakota,Turner County,46125,506,1709,3111,1661,1785
South Dakota,Union County,46127,901,3191,6452,3176,3196
South Dakota,Walworth County,46129,364,881,1833,993,1227
South Dakota,Yankton County,46135,1222,3796,8805,4758,4798
South Dakota,Ziebach County,46137,187,442,1059,456,266
