STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Texas,Anderson County,48001,3007,8210,27285,10625,8698
Texas,Andrews County,48003,1503,4194,8058,2973,1790
Texas,Angelina County,48005,5666,16496,34208,16075,14346
Texas,Aransas County,48007,1079,3170,7855,5501,6844
Texas,Archer County,48009,421,1591,3030,1858,1834
Texas,Armstrong County,48011,118,291,665,320,489
Texas,Atascosa County,48013,3380,10024,20433,8703,7518
Texas,Austin County,48015,1738,5504,11115,5951,6404
Texas,Bailey County,48017,506,1467,3129,716,1226
Texas,Bandera County,48019,867,2729,6236,5410,6347
Texas,Bastrop County,48021,6682,19892,39887,20292,15617
Texas,Baylor County,48023,134,672,1039,703,916
Texas,Bee County,48025,1572,4786,15892,4844,3906
Texas,Bell County,48027,29926,75080,174066,56744,43995
Texas,Bexar County,48029,133231,374794,937949,333588,257782
Texas,Blanco County,48031,512,1634,3818,2971,3073
Texas,Borden County,48033,62,178,239,146,98
Texas,Bosque County,48035,946,2926,6017,3973,4684
Texas,Bowie County,48037,5579,16471,37560,16713,15998
Texas,Brazoria County,48039,24367,74375,167229,67861,47818
Texas,Brazos County,48041,13309,34932,136485,29878,23376
Texas,Brewster County,48043,391,1232,3846,1603,2392
Texas,Briscoe County,48045,48,170,376,287,342
Texas,Brooks County,48047,217,1078,3173,1245,1274
Texas,Brown County,48049,1980,5992,14787,7664,7871
Texas,Burleson County,48051,973,3060,6208,3976,4110
Texas,Burnet County,48053,2509,7955,17812,10861,11927
Texas,Caldwell County,48055,2939,8103,20103,8868,7171
Texas,Calhoun County,48057,1162,3493,7467,4092,3707
Texas,Callahan County,48059,734,2271,5123,2978,2911
Texas,Cameron County,48061,30688,92603,175519,64951,59431
Texas,Camp County,48063,799,2542,4621,2408,2282
Texas,Carson County,48065,282,1021,2131,1095,1273
Texas,Cass County,48067,1627,4834,9735,6044,6342
Texas,Castro County,48069,564,1557,2759,1215,1233
Texas,Chambers County,48071,3277,10238,21545,7897,6221
Texas,Cherokee County,48073,3487,9513,19754,9194,9195
Texas,Childress County,48075,378,882,3577,814,1121
Texas,Clay County,48077,471,1569,3525,2476,2361
Texas,Cochran County,48079,183,499,1012,403,423
Texas,Coke County,48081,145,571,1053,633,913
Texas,Coleman County,48083,286,1311,2379,1751,2038
Texas,Collin County,48085,65005,215043,504009,205530,127014
Texas,Collingsworth County,48087,189,600,939,418,587
Texas,Colorado County,48089,1281,3563,6719,4441,4732
Texas,Comal County,48091,9283,29508,66962,36414,32385
Texas,Comanche County,48093,774,2386,4705,2658,3263
Texas,Concho County,48095,90,331,1505,719,656
Texas,Cooke County,48097,2671,7276,15946,8683,7897
Texas,Coryell County,48099,5443,13613,44116,11379,9221
Texas,Cottle County,48101,64,223,429,247,339
Texas,Crane County,48103,307,896,1828,898,694
Texas,Crockett County,48105,105,562,1050,542,622
Texas,Crosby County,48107,303,997,1902,901,969
Texas,Culberson County,48109,103,368,784,343,583
Texas,Dallam County,48111,692,1647,3020,1132,689
Texas,Dallas County,48113,180240,481587,1197936,445061,298992
Texas,Dawson County,48115,808,2134,5723,1983,1663
Texas,Deaf Smith County,48117,1656,4104,7529,2737,2461
Texas,Delta County,48119,422,847,1949,1030,1097
Texas,Denton County,48121,55071,169826,439641,175055,106051
Texas,DeWitt County,48123,1293,3194,7429,3984,3953
Texas,Dickens County,48125,98,257,557,328,401
Texas,Dimmit County,48127,594,1819,3544,1141,1409
Texas,Donley County,48129,126,460,1226,582,882
Texas,Duval County,48131,620,1926,4006,1739,1533
Texas,Eastland County,48133,993,2831,6468,3644,3910
Texas,Ector County,48135,14115,35390,73560,24103,16038
Texas,Edwards County,48137,21,203,596,257,315
Texas,Ellis County,48139,13217,40738,86113,37462,26397
Texas,El Paso County,48141,58783,170012,388116,138178,111186
Texas,Erath County,48143,2575,6446,20945,6986,6292
Texas,Falls County,48145,929,2675,6447,3697,3315
Texas,Fannin County,48147,1814,5982,14848,7379,6502
Texas,Fayette County,48149,1225,3748,7947,5344,6519
Texas,Fisher County,48151,233,529,1366,741,792
Texas,Floyd County,48153,321,1056,1824,1076,1017
Texas,Foard County,48155,55,199,309,203,313
Texas,Fort Bend County,48157,53279,178424,368232,155142,104644
Texas,Franklin County,48159,568,1812,3588,2231,2323
Texas,Freestone County,48161,1032,3475,7552,3797,3957
Texas,Frio County,48163,1169,3516,8635,2478,2221
Texas,Gaines County,48165,2185,5645,8786,3226,2062
Texas,Galveston County,48167,20668,63966,146247,69524,54316
Texas,Garza County,48169,273,756,2732,869,805
Texas,Gillespie County,48171,1245,4032,8192,5656,8077
Texas,Glasscock County,48173,67,207,417,214,165
Texas,Goliad County,48175,340,1088,2484,1451,1733
Texas,Gonzales County,48177,1307,3852,7064,3690,3851
Texas,Gray County,48179,1268,4045,8627,3728,3463
Texas,Grayson County,48181,8719,25041,53865,27342,25021
Texas,Gregg County,48183,8349,23975,51041,21723,19772
Texas,Grimes County,48185,1594,5245,11882,6030,5634
Texas,Guadalupe County,48187,10321,33071,76336,32698,25942
Texas,Hale County,48189,2108,6564,13713,5339,4523
Texas,Hall County,48191,129,487,943,572,696
Texas,Hamilton County,48193,410,1435,2790,1607,2078
Texas,Hansford County,48195,365,1131,1875,1093,718
Texas,Hardeman County,48197,198,520,1262,781,768
Texas,Hardin County,48199,3301,10871,22155,10844,9955
Texas,Harris County,48201,329995,913430,2173420,798271,543463
Texas,Harrison County,48203,4011,12911,27521,13207,11934
Texas,Hartley County,48205,311,887,2380,852,877
