STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Utah,Beaver County,49001,499,1647,2967,1003,1056
Utah,Box Elder County,49003,4459,14009,24571,9015,7671
Utah,Cache County,49005,10573,30067,67567,15274,13550
Utah,Carbon County,49007,1295,3965,7912,3431,3843
Utah,Daggett County,49009,33,136,286,157,135
Utah,Davis County,49011,26804,86260,162156,52128,39394
Utah,Duchesne County,49013,1597,4863,7905,3024,2543
Utah,Emery County,49015,617,2216,3564,1780,1791
Utah,Garfield County,49017,284,837,1959,917,1173
Utah,Grand County,49019,415,1371,4258,1693,1960
Utah,Iron County,49021,4015,12635,27204,8288,8059
Utah,Juab County,49023,921,3216,4970,1625,1541
Utah,Kane County,49025,429,1382,2710,1554,1921
Utah,Millard County,49027,958,3179,4854,1935,2253
Utah,Morgan County,49029,797,3488,4786,1994,1520
Utah,Piute County,49031,56,263,618,284,484
Utah,Rich County,49033,213,623,742,462,548
Utah,Salt Lake County,49035,78006,228338,558641,182567,137137
Utah,San Juan County,49037,872,3170,5620,2462,2342
Utah,Sanpete County,49039,1744,5377,13400,4495,4193
Utah,Sevier County,49041,1427,4776,8471,3524,3656
Utah,Summit County,49043,2206,7945,16743,9553,6262
Utah,Tooele County,49045,5716,18446,34536,11018,6932
Utah,Uintah County,49047,2777,8856,15194,5355,4276
Utah,Utah County,49049,59337,160594,337022,73455,53214
Utah,Wasatch County,49051,2247,8342,14366,6154,4699
Utah,Washington County,49053,11381,35757,71730,29035,41924
Utah,Wayne County,49055,165,435,883,484,590
Utah,Weber County,49057,18303,53793,120101,41625,32361
