STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Vermont,Addison County,50001,1502,4566,15163,8000,8266
Vermont,Bennington County,50003,1652,5385,12888,8522,8865
Vermont,Caledonia County,50005,1284,4475,11136,6690,6840
Vermont,Chittenden County,50007,7311,22113,80455,31394,27558
Vermont,Essex County,50009,250,776,1855,1497,1594
Vermont,Franklin County,50011,2795,8188,19938,10761,8697
Vermont,Grand Isle County,50013,317,950,2537,1921,1668
Vermont,Lamoille County,50015,1234,4003,10639,5432,4728
Vermont,Orange County,50017,1250,4076,10702,6814,6752
Vermont,Orleans County,50019,1294,4051,9879,5858,6410
Vermont,Rutland County,50021,2468,8141,21300,14075,14500
Vermont,Washington County,50023,2517,8438,23322,13079,12602
Vermont,Windham County,50025,1775,6056,16356,10401,11325
Vermont,Windsor County,50027,2404,7906,20219,13103,14336
