STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Virginia,Accomack County,51001,1762,5162,10640,7380,8382
Virginia,Albemarle County,51003,5722,16710,47739,20896,22616
Virginia,Alleghany County,51005,608,2126,4962,3409,3857
Virginia,Amelia County,51007,758,2011,4789,3011,2773
Virginia,Amherst County,51009,1614,4641,11671,6746,6713
Virginia,Appomattox County,51011,993,2598,6048,3389,3396
Virginia,Arlington County,51013,12310,30444,127303,38085,27321
Virginia,Augusta County,51015,3474,11053,29040,17013,17133
Virginia,Bath County,51017,180,527,1241,1047,1128
Virginia,Bedford County,51019,3547,12188,27588,18707,18224
Virginia,Bland County,51021,190,689,2457,1353,1522
Virginia,Botetourt County,51023,1437,4918,11388,8127,8005
Virginia,Brunswick County,51025,651,1828,6610,3305,3474
Virginia,Buchanan County,51027,859,2533,7249,4555,4661
Virginia,Buckingham County,51029,791,2269,6804,3631,3419
Virginia,Campbell County,51031,2719,8165,21329,11695,11490
Virginia,Caroline County,51033,1892,5292,12661,6533,5163
Virginia,Carroll County,51035,1236,3971,9742,6732,7477
Virginia,Charles City County,51036,249,724,2127,1837,1749
Virginia,Charlotte County,51037,622,1963,3699,2639,2552
Virginia,Chesterfield County,51041,22036,66485,152540,72155,58394
Virginia,Clarke County,51043,553,2306,5006,3910,3285
Virginia,Craig County,51045,359,864,1440,1279,939
Virginia,Culpeper County,51047,3367,10038,20794,10490,8874
Virginia,Cumberland County,51049,459,1437,3545,2037,2267
Virginia,Dickenson County,51051,621,2065,4963,2899,3372
Virginia,Dinwiddie County,51053,1333,4322,10815,6351,5262
Virginia,Essex County,51057,511,1394,3745,2447,2507
Virginia,Fairfax County,51059,68146,196645,490036,223350,166297
Virginia,Fauquier County,51061,4195,13120,27949,16326,12345
Virginia,Floyd County,51063,646,2239,5315,3654,3706
Virginia,Fluvanna County,51065,1432,4062,10636,5873,5761
Virginia,Franklin County,51067,2674,7697,18263,13007,13317
Virginia,Frederick County,51069,5235,16107,35948,19050,17015
Virginia,Giles County,51071,805,2492,5879,3774,3660
Virginia,Gloucester County,51073,1845,6018,14168,9222,7975
Virginia,Goochland County,51075,982,3263,8746,6507,6115
Virginia,Grayson County,51077,592,1929,5437,3431,3934
Virginia,Greene County,51079,1275,3586,7870,4228,3891
Virginia,Greensville County,51081,439,1402,5303,2334,1826
Virginia,Halifax County,51083,1748,5095,11244,7174,8550
Virginia,Hanover County,51085,5508,18750,42185,24266,20943
Virginia,Henrico County,51087,19429,54836,140360,64498,55311
Virginia,Henry County,51089,2244,7545,16849,11431,12296
Virginia,Highland County,51091,60,254,607,568,776
Virginia,Isle of Wight County,51093,1923,6480,14135,9161,7745
Virginia,James City County,51095,3876,11848,26872,16347,21103
Virginia,King and Queen County,51097,302,888,2289,1621,1576
Virginia,King George County,51099,1585,5185,11250,5626,3822
Virginia,King William County,51101,1165,3022,7230,3805,3010
Virginia,Lancaster County,51103,339,1262,2624,2302,4349
