"Vaccine","Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","influenza_season","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag"
,"National","National","Age","6 months-4 years","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","12.478","2.9904","1323","16760547","2023-2024, National. Age: 6 months-4 years","2","2","1","1","1","1010203","0"
,"National","National","Age","6 months-4 years","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","15.7239","3.5378","1323","16760547","2023-2024, National. Age: 6 months-4 years","3","2","1","1","1","1010203","0"
,"National","National","Age","6 months-4 years","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","43.1869","1.603","44626","16760547","2023-2024, National. Age: 6 months-4 years","1","2","1","1","1","1010203","0"
,"National","National","Age","6 months-4 years","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","43.1869","1.603","44626","16760547","2023-2024, National. Age: 6 months-4 years",,"2","1","1","1","1010203","0"
,"National","National","Age","6-23 months","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","35.3757","8.6144","427","5537244","2023-2024, National. Age: 6-23 months","4","2","1","1","1","1010204","0"
,"National","National","Age","6-23 months","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","10.8055","5.1573","427","5537244","2023-2024, National. Age: 6-23 months","2","2","1","1","1","1010204","0"
,"National","National","Age","6-23 months","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","7.9728","4.2214","427","5537244","2023-2024, National. Age: 6-23 months","3","2","1","1","1","1010204","0"
,"National","National","Age","6-23 months","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","45.846","3.3731","17447","5537244","2023-2024, National. Age: 6-23 months","1","2","1","1","1","1010204","0"
,"National","National","Age","6-23 months","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","45.846","3.3731","17447","5537244","2023-2024, National. Age: 6-23 months",,"2","1","1","1","1010204","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","25.763","3.5382","1860","33079846","2023-2024, National. Mother's Education: >= College degree","4","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","12.9709","2.5927","1860","33079846","2023-2024, National. Mother's Education: >= College degree","2","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","13.4907","2.6712","1860","33079846","2023-2024, National. Mother's Education: >= College degree","3","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","47.7754","1.4527","66184","33079846","2023-2024, National. Mother's Education: >= College degree","1","3","1","1","1","1010313","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","39.2733","6.7337","594","10844468","2023-2024, National. Mother's Education: High school or equivalent","4","3","1","1","1","1010311","0"
,"National","National","Mother's Education",">= College degree","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","47.7754","1.4527","66184","33079846","2023-2024, National. Mother's Education: >= College degree",,"3","1","1","1","1010313","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","12.0672","4.1647","594","10844468","2023-2024, National. Mother's Education: High school or equivalent","2","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","19.0618","5.4372","594","10844468","2023-2024, National. Mother's Education: High school or equivalent","3","3","1","1","1","1010311","0"
