"Vaccine","Geographic Level","Geographic Name","Demographic Level","Demographic Name","indicator_label","indicator_category_label","Month_Week","Week_ending","Estimates","CI_Half_width_95pct","Unweighted Sample Size","Current_Season_Week_Ending","Influenza_Season","suppression_flag"
"FLU","National","National","Race and Ethnicity","Hispanic","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","35.4","1.5567","55,291","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Connecticut","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","7.4","7.6931","89","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","American Indian/Alaska Native, Non-Hispanic","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","32.8","4.0268","4,191","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Delaware","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","35.9","8.5436","168","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Hispanic","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","35.4","1.5567","55,291","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Delaware","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","12.6","5.611","168","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Asian, Non-Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","21.1","7.0659","387","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Delaware","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","48.8","2.0282","8,317","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Multiple or Other Races, Non-Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","42.8","8.1449","336","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","District of Columbia","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","56","1.691","13,556","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Asian, Non-Hispanic","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","51.2","3.2436","16,084","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Florida","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","6.1","4.9236","157","2025 Feb 08 12:00:00 AM","2024-2025","0"
