STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
West Virginia,Barbour County,54001,736,2374,6077,3053,3214
West Virginia,Berkeley County,54003,7653,21581,52815,25071,19045
West Virginia,Boone County,54005,1048,3356,7759,4543,4606
West Virginia,Braxton County,54007,517,1792,4362,2659,3015
West Virginia,Brooke County,54009,920,2893,8090,4754,5396
West Virginia,Cabell County,54011,4938,13527,39888,16700,18247
West Virginia,Calhoun County,54013,259,922,1936,1438,1603
West Virginia,Clay County,54015,403,1349,2698,1769,1727
West Virginia,Doddridge County,54017,297,903,3176,1751,1640
West Virginia,Fayette County,54019,1917,6317,14559,8282,8912
West Virginia,Gilmer County,54021,276,890,3445,1450,1315
West Virginia,Grant County,54023,572,1553,3740,2404,2703
West Virginia,Greenbrier County,54025,1643,4725,11384,7097,7839
West Virginia,Hampshire County,54027,1188,3081,8119,5425,5527
West Virginia,Hancock County,54029,1223,4131,10163,6231,6910
West Virginia,Hardy County,54031,652,1993,4955,3326,3310
West Virginia,Harrison County,54033,3526,10453,24832,13512,13084
West Virginia,Jackson County,54035,1494,4521,9915,6002,5821
West Virginia,Jefferson County,54037,2934,9639,23130,12912,9931
West Virginia,Kanawha County,54039,8834,26773,67508,36490,38593
West Virginia,Lewis County,54041,869,2789,6150,3497,3503
West Virginia,Lincoln County,54043,1059,3418,7205,4349,4139
West Virginia,Logan County,54045,1597,5026,11898,6292,7013
West Virginia,McDowell County,54047,780,2638,7228,3783,3984
West Virginia,Marion County,54049,2794,8400,23049,10704,11095
West Virginia,Marshall County,54051,1317,4414,10813,6592,6993
West Virginia,Mason County,54053,1395,3844,9162,5222,5591
West Virginia,Mercer County,54055,3114,9247,21962,11398,13341
West Virginia,Mineral County,54057,1317,4048,9912,5582,6063
West Virginia,Mingo County,54059,1319,3930,8050,4769,4911
West Virginia,Monongalia County,54061,4806,12427,58709,16572,14006
West Virginia,Monroe County,54063,675,1893,4024,2726,3083
West Virginia,Morgan County,54065,740,2285,5793,4219,4290
West Virginia,Nicholas County,54067,1121,3927,8393,5246,5759
West Virginia,Ohio County,54069,2139,6097,16038,8269,9361
West Virginia,Pendleton County,54071,296,857,1819,1359,1780
West Virginia,Pleasants County,54073,362,1124,3004,1679,1403
West Virginia,Pocahontas County,54075,337,1017,2604,1798,2099
West Virginia,Preston County,54077,1574,4564,14140,7092,6834
West Virginia,Putnam County,54079,2677,9795,22002,11738,11038
West Virginia,Raleigh County,54081,3711,11851,28480,13612,16012
West Virginia,Randolph County,54083,1402,3756,10613,5783,6228
West Virginia,Ritchie County,54085,401,1245,2828,1945,1953
West Virginia,Roane County,54087,640,2252,4761,3067,3201
West Virginia,Summers County,54089,424,1473,3970,2797,3169
West Virginia,Taylor County,54091,782,2580,6204,3519,3458
West Virginia,Tucker County,54093,246,717,2254,1627,1854
West Virginia,Tyler County,54095,395,1195,2710,1935,1946
West Virginia,Upshur County,54097,1214,3729,8969,4780,5066
West Virginia,Wayne County,54099,1928,5987,14051,8137,8395
West Virginia,Webster County,54101,385,1235,2770,1850,2013
West Virginia,Wetzel County,54103,819,2217,4861,3099,3237
West Virginia,Wirt County,54105,243,853,1742,1152,1141
West Virginia,Wood County,54107,4427,13198,30863,17550,17791
West Virginia,Wyoming County,54109,973,3302,7555,4317,4801
