STATE_NAME,COUNTY_NAME,fips,0-4,5-17,18-49,50-64,65+
Wisconsin,Adams County,55001,632,2268,6146,5279,6603
Wisconsin,Ashland County,55003,814,2562,5822,3472,3380
Wisconsin,Barron County,55005,2440,7519,16073,9892,10817
Wisconsin,Bayfield County,55007,660,2059,4635,4078,4978
Wisconsin,Brown County,55009,15823,46929,111752,52129,42792
Wisconsin,Buffalo County,55011,643,2041,4532,3019,3106
Wisconsin,Burnett County,55013,597,2104,4590,4216,5234
Wisconsin,Calumet County,55015,2602,9367,20235,11755,8667
Wisconsin,Chippewa County,55017,3513,10913,25226,14165,12741
Wisconsin,Clark County,55019,2846,7502,11781,6697,5910
Wisconsin,Columbia County,55021,2983,9148,22075,12970,11146
Wisconsin,Crawford County,55023,786,2338,5394,3564,3982
Wisconsin,Dane County,55025,29193,83715,273582,95257,83030
Wisconsin,Dodge County,55027,4052,13444,34766,20158,16398
Wisconsin,Door County,55029,1190,3661,8939,6950,9539
Wisconsin,Douglas County,55031,1992,6539,17277,9526,8863
Wisconsin,Dunn County,55033,2152,6684,20941,8144,7428
Wisconsin,Eau Claire County,55035,5440,15879,49246,18129,17634
Wisconsin,Florence County,55037,174,552,1264,1316,1311
Wisconsin,Fond du Lac County,55039,5335,16850,39988,21793,20087
Wisconsin,Forest County,55041,478,1291,2955,2221,2316
Wisconsin,Grant County,55043,2960,7999,22010,9429,9280
Wisconsin,Green County,55045,1895,6204,13312,8277,7348
Wisconsin,Green Lake County,55047,1080,3078,6354,4257,4396
Wisconsin,Iowa County,55049,1274,3938,8443,5439,4738
Wisconsin,Iron County,55051,221,727,1719,1522,1975
Wisconsin,Jackson County,55053,1189,3335,7709,4564,4174
Wisconsin,Jefferson County,55055,4104,13190,34722,18415,15436
Wisconsin,Juneau County,55057,1301,3925,9483,6283,5703
Wisconsin,Kenosha County,55059,9088,28108,69674,35803,25740
Wisconsin,Kewaunee County,55061,1038,3305,7321,4516,4441
Wisconsin,La Crosse County,55063,5782,17810,54096,21605,20969
Wisconsin,Lafayette County,55065,1145,3024,5834,3463,3322
Wisconsin,Langlade County,55067,1037,2718,6176,4656,4886
Wisconsin,Lincoln County,55069,1421,3699,9436,7307,6540
Wisconsin,Manitowoc County,55071,4066,12626,28437,18514,17671
Wisconsin,Marathon County,55073,7770,23535,52393,28632,25737
Wisconsin,Marinette County,55075,1927,6041,13543,10078,10318
Wisconsin,Marquette County,55077,698,2288,4786,3859,4075
Wisconsin,Menominee County,55078,341,966,1413,874,662
Wisconsin,Milwaukee County,55079,60703,160847,411525,161103,133478
Wisconsin,Monroe County,55081,2896,8846,16902,9390,8135
Wisconsin,Oconto County,55083,1918,5923,13113,9714,8661
Wisconsin,Oneida County,55085,1558,4892,11476,9633,10448
Wisconsin,Outagamie County,55087,11221,33202,78057,38301,30756
Wisconsin,Ozaukee County,55089,4672,14802,33462,19986,19423
Wisconsin,Pepin County,55091,401,1223,2363,1625,1760
Wisconsin,Pierce County,55093,2099,6579,18332,8516,6825
Wisconsin,Polk County,55095,2079,7064,15502,10747,9935
Wisconsin,Portage County,55097,3234,10169,31007,13409,12556
Wisconsin,Price County,55099,570,1944,4039,3608,3916
Wisconsin,Racine County,55101,11282,33860,75379,41610,34757
Wisconsin,Richland County,55103,848,2822,5703,3657,4199
Wisconsin,Rock County,55105,9371,27801,64454,33922,28396
Wisconsin,Rusk County,55107,707,2144,4420,3286,3589
Wisconsin,St. Croix County,55109,5425,17457,37207,20199,14531
Wisconsin,Sauk County,55111,3690,11129,24567,13658,12715
Wisconsin,Sawyer County,55113,802,2517,5365,4493,5066
Wisconsin,Shawano County,55115,2176,6529,13879,9404,8939
Wisconsin,Sheboygan County,55117,6202,19429,44894,24748,22510
Wisconsin,Taylor County,55119,1090,3555,6627,4571,4129
Wisconsin,Trempealeau County,55121,2274,5931,10700,6254,5627
Wisconsin,Vernon County,55123,2102,5970,10066,6388,6389
Wisconsin,Vilas County,55125,933,2924,6146,6108,7299
Wisconsin,Walworth County,55127,4787,16170,41952,22264,20274
Wisconsin,Washburn County,55129,640,2436,4837,4218,4618
Wisconsin,Washington County,55131,6710,22543,49990,31734,26343
Wisconsin,Waukesha County,55133,20731,66023,151355,89658,81273
Wisconsin,Waupaca County,55135,2625,7848,18262,12162,10817
Wisconsin,Waushara County,55137,1071,3394,7944,6040,6303
Wisconsin,Winnebago County,55139,8939,26043,73719,33423,29233
Wisconsin,Wood County,55141,4013,11962,26101,16115,15848
