fips,age_group,pop,STATE_NAME,COUNTY_NAME
01001,0-4,3430,Alabama,Autauga County
01001,18-49,24116,Alabama,Autauga County
01001,5-17,10496,Alabama,Autauga County
01001,50-64,11769,Alabama,Autauga County
01001,65+,9474,Alabama,Autauga County
01003,0-4,12448,Alabama,Baldwin County
01003,18-49,87325,Alabama,Baldwin County
01003,5-17,38680,Alabama,Baldwin County
01003,50-64,50166,Alabama,Baldwin County
01003,65+,51326,Alabama,Baldwin County
01005,0-4,1380,Alabama,Barbour County
01005,18-49,9878,Alabama,Barbour County
01005,5-17,3801,Alabama,Barbour County
01005,50-64,4817,Alabama,Barbour County
01005,65+,4881,Alabama,Barbour County
01007,0-4,1069,Alabama,Bibb County
01007,18-49,9483,Alabama,Bibb County
01007,5-17,3389,Alabama,Bibb County
01007,50-64,4455,Alabama,Bibb County
01007,65+,3756,Alabama,Bibb County
01009,0-4,3397,Alabama,Blount County
01009,18-49,22508,Alabama,Blount County
01009,5-17,10341,Alabama,Blount County
01009,50-64,12027,Alabama,Blount County
01009,65+,11019,Alabama,Blount County
01011,0-4,552,Alabama,Bullock County
01011,18-49,4166,Alabama,Bullock County
01011,5-17,1553,Alabama,Bullock County
01011,50-64,2069,Alabama,Bullock County
01011,65+,1817,Alabama,Bullock County
01013,0-4,1066,Alabama,Butler County
01013,18-49,6923,Alabama,Butler County
01013,5-17,3153,Alabama,Butler County
01013,50-64,3639,Alabama,Butler County
01013,65+,4026,Alabama,Butler County
01015,0-4,6504,Alabama,Calhoun County
01015,18-49,48197,Alabama,Calhoun County
01015,5-17,18325,Alabama,Calhoun County
01015,50-64,22176,Alabama,Calhoun County
01015,65+,20939,Alabama,Calhoun County
01017,0-4,1985,Alabama,Chambers County
01017,18-49,13040,Alabama,Chambers County
01017,5-17,5156,Alabama,Chambers County
01017,50-64,7385,Alabama,Chambers County
01017,65+,6884,Alabama,Chambers County
01019,0-4,1178,Alabama,Cherokee County
01019,18-49,8673,Alabama,Cherokee County
01019,5-17,3569,Alabama,Cherokee County
01019,50-64,5801,Alabama,Cherokee County
01019,65+,6003,Alabama,Cherokee County
01021,0-4,2758,Alabama,Chilton County
01021,18-49,17821,Alabama,Chilton County
01021,5-17,8208,Alabama,Chilton County
01021,50-64,9027,Alabama,Chilton County
01021,65+,7686,Alabama,Chilton County
01023,0-4,674,Alabama,Choctaw County
01023,18-49,4297,Alabama,Choctaw County
01023,5-17,1818,Alabama,Choctaw County
01023,50-64,2754,Alabama,Choctaw County
01023,65+,2982,Alabama,Choctaw County
01025,0-4,1336,Alabama,Clarke County
01025,18-49,8405,Alabama,Clarke County
01025,5-17,3614,Alabama,Clarke County
01025,50-64,4745,Alabama,Clarke County
01025,65+,4702,Alabama,Clarke County
01027,0-4,744,Alabama,Clay County
01027,18-49,5197,Alabama,Clay County
01027,5-17,2188,Alabama,Clay County
01027,50-64,3149,Alabama,Clay County
01027,65+,2910,Alabama,Clay County
01029,0-4,900,Alabama,Cleburne County
01029,18-49,5658,Alabama,Cleburne County
01029,5-17,2427,Alabama,Cleburne County
01029,50-64,3152,Alabama,Cleburne County
01029,65+,3117,Alabama,Cleburne County
01031,0-4,3339,Alabama,Coffee County
01031,18-49,21908,Alabama,Coffee County
01031,5-17,9706,Alabama,Coffee County
01031,50-64,10001,Alabama,Coffee County
01031,65+,9277,Alabama,Coffee County
01033,0-4,3246,Alabama,Colbert County
01033,18-49,21846,Alabama,Colbert County
01033,5-17,9065,Alabama,Colbert County
01033,50-64,11891,Alabama,Colbert County
01033,65+,11600,Alabama,Colbert County
01035,0-4,608,Alabama,Conecuh County
01035,18-49,3910,Alabama,Conecuh County
01035,5-17,1697,Alabama,Conecuh County
01035,50-64,2422,Alabama,Conecuh County
01035,65+,2774,Alabama,Conecuh County
01037,0-4,496,Alabama,Coosa County
01037,18-49,3330,Alabama,Coosa County
01037,5-17,1246,Alabama,Coosa County
01037,50-64,2693,Alabama,Coosa County
01037,65+,2558,Alabama,Coosa County
01039,0-4,2185,Alabama,Covington County
01039,18-49,13418,Alabama,Covington County
01039,5-17,6134,Alabama,Covington County
01039,50-64,7662,Alabama,Covington County
01039,65+,8248,Alabama,Covington County
01041,0-4,714,Alabama,Crenshaw County
01041,18-49,4755,Alabama,Crenshaw County
01041,5-17,2302,Alabama,Crenshaw County
01041,50-64,2755,Alabama,Crenshaw County
01041,65+,2618,Alabama,Crenshaw County
01043,0-4,5217,Alabama,Cullman County
01043,18-49,34426,Alabama,Cullman County
01043,5-17,14915,Alabama,Cullman County
01043,50-64,17961,Alabama,Cullman County
01043,65+,16944,Alabama,Cullman County
01045,0-4,3295,Alabama,Dale County
01045,18-49,19930,Alabama,Dale County
01045,5-17,8223,Alabama,Dale County
