STATE_NAME,STATE_FIPS,age_group,frac_high_risk,frac_high_risk_low,frac_high_risk_upp,n_unw
Alabama,01,18-49,0.471304507523833,0.439637057280809,0.502971957766858,1452
Alabama,01,50-64,0.545510468403792,0.508456004618163,0.582564932189421,1132
Alabama,01,65+,0.594304392253953,0.563486724469231,0.625122060038675,1776
Alaska,02,18-49,0.531234329659125,0.504042105670255,0.558426553647994,2126
Alaska,02,50-64,0.534264683050374,0.498276485884068,0.57025288021668,1425
Alaska,02,65+,0.601994398926178,0.570273416644336,0.633715381208021,1972
Arizona,04,18-49,0.4930280369462,0.470771880805394,0.515284193087007,3555
Arizona,04,50-64,0.444507394061888,0.417321000765866,0.47169378735791,2808
Arizona,04,65+,0.574746042892247,0.554005129882051,0.595486955902443,5670
Arkansas,05,18-49,0.481135696380193,0.451617426361422,0.510653966398964,1617
Arkansas,05,50-64,0.504932907560406,0.473700131911342,0.53616568320947,1371
Arkansas,05,65+,0.589992545520802,0.565604124027508,0.614380967014097,2362
California,06,18-49,0.49351460805057,0.474784425766233,0.512244790334907,4930
California,06,50-64,0.507794922370246,0.478321863360125,0.537267981380368,2715
California,06,65+,0.657484479643544,0.633249345715841,0.681719613571247,4325
Colorado,08,18-49,0.561685905135614,0.542951672629876,0.580420137641352,3889
Colorado,08,50-64,0.492956057163653,0.465776193962246,0.520135920365059,2057
Colorado,08,65+,0.55696366074564,0.532223422144654,0.581703899346625,2835
Connecticut,09,18-49,0.492843707593421,0.468327151541658,0.517360263645184,3347
Connecticut,09,50-64,0.453593845584872,0.423500684648461,0.483687006521283,2632
Connecticut,09,65+,0.531547263496096,0.50271007923922,0.560384447752972,3518
Delaware,10,18-49,0.503762707441547,0.465563958735513,0.54196145614758,1262
Delaware,10,50-64,0.542690213704788,0.500402463782771,0.584977963626805,1061
Delaware,10,65+,0.659883730438924,0.630998356281154,0.688769104596695,1959
District of Columbia,11,18-49,0.558996479706439,0.524397800616319,0.593595158796558,1327
District of Columbia,11,50-64,0.518234239801646,0.469737001646549,0.566731477956743,706
District of Columbia,11,65+,0.555800748266316,0.514481043135432,0.597120453397199,1173
Florida,12,18-49,0.506767972807757,0.478328151651045,0.535207793964468,3790
Florida,12,50-64,0.46584049957605,0.427867722426138,0.503813276725961,3240
Florida,12,65+,0.555925005352629,0.529015904421253,0.582834106284005,6220
Georgia,13,18-49,0.501411542138372,0.476341763605061,0.526481320671682,2783
Georgia,13,50-64,0.529309563531225,0.497214632845258,0.561404494217193,1870
Georgia,13,65+,0.642065554153104,0.619238322970996,0.664892785335211,3569
Hawaii,15,18-49,0.515812159918267,0.490571604465666,0.541052715370869,2865
Hawaii,15,50-64,0.514733007318941,0.481825740174788,0.547640274463093,1791
Hawaii,15,65+,0.621157812137144,0.593376904935121,0.648938719339166,3176
Idaho,16,18-49,0.487794233076652,0.464383147057537,0.511205319095767,3078
Idaho,16,50-64,0.45982541157307,0.425013600790222,0.494637222355918,1440
Idaho,16,65+,0.575774716751638,0.547846973238201,0.603702460265076,2376
Illinois,17,18-49,0.488022553480666,0.462097880650261,0.51394722631107,2452
Illinois,17,50-64,0.5457188934649,0.508160431784426,0.583277355145374,1273
Illinois,17,65+,0.599647692925084,0.563987715126262,0.635307670723907,1552
Indiana,18,18-49,0.499246771180056,0.480326082474673,0.518167459885439,3957
Indiana,18,50-64,0.599782780138656,0.578102116728907,0.621463443548405,2819
Indiana,18,65+,0.647892721395982,0.630345661915942,0.665439780876022,4212
Iowa,19,18-49,0.496989759805749,0.47625992879806,0.517719590813437,3642
Iowa,19,50-64,0.52308885908173,0.495882749341689,0.550294968821772,2076
Iowa,19,65+,0.619026917324845,0.597735319189749,0.640318515459941,3157
Kansas,20,18-49,0.498879951737624,0.478542898065155,0.519217005410092,3752
Kansas,20,50-64,0.461577140958083,0.434113966680612,0.489040315235554,2403
Kansas,20,65+,0.522792280994715,0.500790884932443,0.544793677056988,3726
Kentucky,21,18-49,0.513714163161828,0.48104827162394,0.546380054699717,1618
Kentucky,21,50-64,0.534837123521555,0.493933686088271,0.57574056095484,1101
Kentucky,21,65+,0.625297996726938,0.585956746461521,0.664639246992355,1299
Louisiana,22,18-49,0.495462938130774,0.468165167015822,0.522760709245726,2063
Louisiana,22,50-64,0.480317733095902,0.448473017544571,0.512162448647234,1489
Louisiana,22,65+,0.573045596972577,0.543401755568905,0.60268943837625,1835
Maine,23,18-49,0.552193334300673,0.528016259023792,0.576370409577553,2982
Maine,23,50-64,0.576525589598105,0.553566211055915,0.599484968140295,3092
Maine,23,65+,0.648970218784148,0.632631714336718,0.665308723231578,6179
Maryland,24,18-49,0.482536304201503,0.46252716221789,0.502545446185116,5373
Maryland,24,50-64,0.42340813808425,0.400950298197939,0.445865977970562,4475
Maryland,24,65+,0.531192477191467,0.512176078735649,0.550208875647285,7397
Massachusetts,25,18-49,0.535385401625337,0.513168080849241,0.557602722401432,3932
Massachusetts,25,50-64,0.49741780781709,0.467530952196871,0.527304663437308,2393
Massachusetts,25,65+,0.549175756931705,0.520916835059635,0.577434678803774,3199
Michigan,26,18-49,0.545621704485653,0.523348941315838,0.567894467655467,3177
Michigan,26,50-64,0.570527421662652,0.545668843118854,0.59538600020645,2544
Michigan,26,65+,0.647955148579501,0.628565227857385,0.667345069301617,4254
Minnesota,27,18-49,0.512603640300626,0.495373474979922,0.529833805621331,5814
Minnesota,27,50-64,0.518567690933305,0.496071685077598,0.541063696789013,4225
Minnesota,27,65+,0.590603222272374,0.570299493564814,0.610906950979935,6125
Mississippi,28,18-49,0.489543074522714,0.460018581148373,0.519067567897055,1880
Mississippi,28,50-64,0.482674236065548,0.439931640493979,0.525416831637117,989
Mississippi,28,65+,0.559847461123686,0.519243070861881,0.600451851385492,1196
Missouri,29,18-49,0.529744456951592,0.504719809479552,0.554769104423633,2779
Missouri,29,50-64,0.546024791287684,0.513915676421395,0.578133906153973,1688
Missouri,29,65+,0.652147459991871,0.62712292983961,0.677171990144131,2749
Montana,30,18-49,0.562699894409781,0.538465760985083,0.586934027834478,2270
Montana,30,50-64,0.557728710365785,0.52857017951631,0.58688724121526,1682
Montana,30,65+,0.624650299274154,0.603342009065706,0.645958589482602,3191
Nebraska,31,18-49,0.472884631923081,0.455059171665324,0.490710092180837,5163
Nebraska,31,50-64,0.423400702083937,0.400442949798425,0.44635845436945,3075
Nebraska,31,65+,0.505048465632669,0.485257426598873,0.524839504666464,4648
Nevada,32,18-49,0.512076590456623,0.46497449014875,0.559178690764496,951
Nevada,32,50-64,0.467110026597629,0.400796013990127,0.533424039205131,609
Nevada,32,65+,0.568128255252373,0.51677777501391,0.619478735490837,1088
New Hampshire,33,18-49,0.521208304664024,0.487283438273003,0.555133171055044,1224
New Hampshire,33,50-64,0.525217065249162,0.496232111936606,0.554202018561718,1701
New Hampshire,33,65+,0.61874266022868,0.599131899640112,0.638353420817248,4034
New Jersey,34,18-49,0.505386768937994,0.482295384332881,0.528478153543108,3385
New Jersey,34,50-64,0.526971420894682,0.499369326564053,0.554573515225312,2446
New Jersey,34,65+,0.632332592988339,0.60872307832056,0.655942107656117,3493
New Mexico,35,18-49,0.516604919576343,0.474829734846671,0.558380104306014,1046
New Mexico,35,50-64,0.549297532643547,0.497506325189696,0.601088740097399,767
New Mexico,35,65+,0.628947941356369,0.590335129504101,0.667560753208638,1407
New York,36,18-49,0.49468527347124,0.478492188192772,0.510878358749709,7495
New York,36,50-64,0.479251958172555,0.455850030212622,0.502653886132489,4463
New York,36,65+,0.549388371685698,0.526484475420009,0.572292267951387,5386
North Carolina,37,18-49,0.510465936467477,0.478640851036801,0.542291021898153,1703
North Carolina,37,50-64,0.556547327696132,0.513014272040161,0.600080383352103,1070
North Carolina,37,65+,0.643162035521619,0.605580780928459,0.680743290114779,1313
North Dakota,38,18-49,0.50901463090635,0.483073448923175,0.534955812889525,2003
North Dakota,38,50-64,0.494658832228642,0.463039835227816,0.526277829229467,1334
North Dakota,38,65+,0.572116269571095,0.547965832359602,0.596266706782588,2407
Ohio,39,18-49,0.512854699502282,0.492494972224887,0.533214426779676,4219
Ohio,39,50-64,0.489337696998613,0.467000901221941,0.511674492775286,3657
Ohio,39,65+,0.564948341553978,0.546440398076102,0.583456285031854,5497
Oklahoma,40,18-49,0.496657414893133,0.474309882370819,0.519004947415447,2699
Oklahoma,40,50-64,0.492084350577302,0.46349810717974,0.520670593974863,1660
Oklahoma,40,65+,0.586127345156824,0.561697776004791,0.610556914308857,2368
Oregon,41,18-49,0.509989489706801,0.485954616296092,0.53402436311751,2606
Oregon,41,50-64,0.508543074453433,0.473575180707852,0.543510968199014,1423
Oregon,41,65+,0.545785881630118,0.514716684448427,0.576855078811808,2205
Pennsylvania,42,18-49,0.538578280022032,0.507711415273787,0.569445144770277,2036
Pennsylvania,42,50-64,0.479390185445654,0.43788331784103,0.520897053050279,1199
Pennsylvania,42,65+,0.569966094464522,0.53033049443219,0.609601694496855,1345
Rhode Island,44,18-49,0.501538452362472,0.47109414507461,0.531982759650334,1877
Rhode Island,44,50-64,0.471799703646391,0.438109444320446,0.505489962972337,1676
Rhode Island,44,65+,0.562356881611601,0.530483021344226,0.594230741878977,2227
South Carolina,45,18-49,0.468187592908999,0.444747813382599,0.491627372435399,2906
South Carolina,45,50-64,0.46856761510803,0.442594416998783,0.494540813217277,2522
South Carolina,45,65+,0.557701390523875,0.538357454065084,0.577045326982666,4601
South Dakota,46,18-49,0.461513056465039,0.416628383887127,0.506397729042951,1974
South Dakota,46,50-64,0.510511292124665,0.447524574556095,0.573498009693235,1490
South Dakota,46,65+,0.568787763275043,0.517431171244379,0.620144355305708,2421
Tennessee,47,18-49,0.51409910560244,0.486646387986159,0.541551823218721,2199
Tennessee,47,50-64,0.612009765947332,0.578790039349431,0.645229492545233,1499
Tennessee,47,65+,0.677918346036266,0.648251507760935,0.707585184311596,1943
Texas,48,18-49,0.470928954729762,0.44550974597456,0.496348163484964,4239
Texas,48,50-64,0.491572581419487,0.454526011624769,0.528619151214204,2414
Texas,48,65+,0.641815796070825,0.610926557920081,0.67270503422157,3406
Utah,49,18-49,0.494344524348953,0.477190653337564,0.511498395360342,5355
Utah,49,50-64,0.430399611622908,0.404458850025636,0.45634037322018,2296
Utah,49,65+,0.516792923419093,0.493268892241805,0.540316954596381,3500
Vermont,50,18-49,0.519112287081637,0.492227256268845,0.545997317894429,2247
Vermont,50,50-64,0.515418197560454,0.485979646081248,0.544856749039659,2154
Vermont,50,65+,0.550470310095935,0.519431790875708,0.581508829316163,3234
Virginia,51,18-49,0.498705563202614,0.470868517724018,0.52654260868121,2128
Virginia,51,50-64,0.473534058611192,0.438221411344936,0.508846705877448,1617
Virginia,51,65+,0.567722962971321,0.542206698989972,0.59323922695267,3232
Washington,53,18-49,0.492646845172741,0.480832565496326,0.504461124849156,10293
Washington,53,50-64,0.463427339640367,0.44738568037452,0.479468998906214,6310
Washington,53,65+,0.551619842157551,0.537026066357706,0.566213617957396,9834
West Virginia,54,18-49,0.54901976822091,0.518661054303462,0.579378482138359,1369
West Virginia,54,50-64,0.555803495892464,0.5230965949393,0.588510396845629,1128
West Virginia,54,65+,0.633656527039243,0.608756581652422,0.658556472426065,1842
Wisconsin,55,18-49,0.510077042204874,0.488960456376091,0.531193628033657,3416
Wisconsin,55,50-64,0.536893601188668,0.515915828007425,0.55787137436991,3344
Wisconsin,55,65+,0.619904842270918,0.604285812937571,0.635523871604266,6055
Wyoming,56,18-49,0.52402200200954,0.49234749440135,0.555696509617729,1210
Wyoming,56,50-64,0.529611064165416,0.494487180997545,0.564734947333288,1002
Wyoming,56,65+,0.624549479363965,0.600971304375351,0.648127654352579,2271
Alabama,01,0-4,0.0962884645987076,0.0398584930017824,0.152718436195633,301
Alabama,01,5-17,0.406376466860795,0.351171790447727,0.461581143273863,552
Alaska,02,0-4,0.0397117211808419,0.00961925137572339,0.0698041909859605,283
Alaska,02,5-17,0.335870924454621,0.278154148153048,0.393587700756195,533
