State,VaxCov,WeekEnd,AgeGroup,VE_Inpatient,total_pop,TotalVax,TotalFullProtect,WeeklyNewFullProtect
Alabama,0.024,2024-08-24,Adult,0.36,3926252,94230.048,33923,33923
Alabama,0.036,2024-08-31,Adult,0.36,3926252,141345.072,50884,16961
Alabama,0.047,2024-09-07,Adult,0.36,3926252,184533.844,66432,15548
Alabama,0.069,2024-09-14,Adult,0.36,3926252,270911.388,97528,31096
Alabama,0.085,2024-09-21,Adult,0.36,3926252,333731.42,120143,22615
Alabama,0.114,2024-09-28,Adult,0.36,3926252,447592.728,161133,40990
Alabama,0.151,2024-10-05,Adult,0.36,3926252,592864.052,213431,52298
Alabama,0.181,2024-10-12,Adult,0.36,3926252,710651.612,255835,42404
Alabama,0.203,2024-10-19,Adult,0.36,3926252,797029.156,286930,31095
Alabama,0.21,2024-10-26,Adult,0.36,3926252,824512.92,296825,9895
Alabama,0.267,2024-11-02,Adult,0.36,3926252,1048309.284,377391,80566
Alabama,0.288,2024-11-09,Adult,0.36,3926252,1130760.576,407074,29683
Alabama,0.288,2024-11-16,Adult,0.36,3926252,1130760.576,407074,0
Alabama,0.293,2024-11-23,Adult,0.36,3926252,1150391.836,414141,7067
Alabama,0.3,2024-11-30,Adult,0.36,3926252,1177875.6,424035,9894
Alabama,0.338,2024-12-07,Adult,0.36,3926252,1327073.176,477746,53711
Alabama,0.343,2024-12-14,Adult,0.36,3926252,1346704.436,484814,7068
Alabama,0.343,2024-12-21,Adult,0.36,3926252,1346704.436,484814,0
Alabama,0.357,2024-12-28,Adult,0.36,3926252,1401671.964,504602,19788
Alabama,0.357,2025-01-04,Adult,0.36,3926252,1401671.964,504602,0
Alabama,0.357,2025-01-11,Adult,0.36,3926252,1401671.964,504602,0
Alabama,0.357,2025-01-18,Adult,0.36,3926252,1401671.964,504602,0
Alabama,0.357,2025-01-25,Adult,0.36,3926252,1401671.964,504602,0
Alabama,0.374,2025-02-01,Adult,0.36,3926252,1468418.248,528631,24029
Alabama,0.374,2025-02-08,Adult,0.36,3926252,1468418.248,528631,0
Alabama,0.374,2025-02-15,Adult,0.36,3926252,1468418.248,528631,0
Alabama,0.374,2025-02-22,Adult,0.36,3926252,1468418.248,528631,0
Alabama,0.385,2025-03-01,Adult,0.36,3926252,1511607.02,544179,15548
Alabama,0.385,2025-03-08,Adult,0.36,3926252,1511607.02,544179,0
Alabama,0.385,2025-03-15,Adult,0.36,3926252,1511607.02,544179,0
Alabama,0.385,2025-03-22,Adult,0.36,3926252,1511607.02,544179,0
Alabama,0.385,2025-03-29,Adult,0.36,3926252,1511607.02,544179,0
Alabama,0.391,2025-04-05,Adult,0.36,3926252,1535164.532,552659,8480
Alabama,0.391,2025-04-12,Adult,0.36,3926252,1535164.532,552659,0
Alabama,0.391,2025-04-19,Adult,0.36,3926252,1535164.532,552659,0
Alabama,0.391,2025-04-26,Adult,0.36,3926252,1535164.532,552659,0
Alabama,0.150767,2024-10-05,Pediatric,0.51,1128001,170065.326767,86733,86733
Alabama,0.166051,2024-10-12,Pediatric,0.51,1128001,187305.694051,95526,8793
Alabama,0.173487,2024-10-19,Pediatric,0.51,1128001,195693.509487,99804,4278
Alabama,0.195582,2024-10-26,Pediatric,0.51,1128001,220616.691582,112515,12711
Alabama,0.255783,2024-11-02,Pediatric,0.51,1128001,288523.479783,147147,34632
Alabama,0.255935,2024-11-09,Pediatric,0.51,1128001,288694.935935,147234,87
Alabama,0.256376,2024-11-16,Pediatric,0.51,1128001,289192.384376,147488,254
Alabama,0.256449,2024-11-23,Pediatric,0.51,1128001,289274.728449,147530,42
Alabama,0.256449,2024-11-30,Pediatric,0.51,1128001,289274.728449,147530,0
Alabama,0.310428,2024-12-07,Pediatric,0.51,1128001,350163.094428,178583,31053
Alabama,0.312638,2024-12-14,Pediatric,0.51,1128001,352655.976638,179855,1272
Alabama,0.317909,2024-12-21,Pediatric,0.51,1128001,358601.669909,182887,3032
Alabama,0.317909,2024-12-28,Pediatric,0.51,1128001,358601.669909,182887,0
Alabama,0.342046,2025-01-04,Pediatric,0.51,1128001,385828.230046,196772,13885
Alabama,0.345258,2025-01-11,Pediatric,0.51,1128001,389451.369258,198620,1848
Alabama,0.368848,2025-01-18,Pediatric,0.51,1128001,416060.912848,212191,13571
Alabama,0.368848,2025-01-25,Pediatric,0.51,1128001,416060.912848,212191,0
Alabama,0.379041,2025-02-01,Pediatric,0.51,1128001,427558.627041,218055,5864
Alabama,0.379041,2025-02-08,Pediatric,0.51,1128001,427558.627041,218055,0
Alabama,0.386329,2025-02-15,Pediatric,0.51,1128001,435779.498329,222248,4193
Alabama,0.386329,2025-02-22,Pediatric,0.51,1128001,435779.498329,222248,0
Alabama,0.390348,2025-03-01,Pediatric,0.51,1128001,440312.934348,224560,2312
Alabama,0.390348,2025-03-08,Pediatric,0.51,1128001,440312.934348,224560,0
Alabama,0.391067,2025-03-15,Pediatric,0.51,1128001,441123.967067,224973,413
Alabama,0.391148,2025-03-22,Pediatric,0.51,1128001,441215.335148,225020,47
Alabama,0.391148,2025-03-29,Pediatric,0.51,1128001,441215.335148,225020,0
Alabama,0.397018,2025-04-05,Pediatric,0.51,1128001,447836.701018,228397,3377
Alabama,0.397018,2025-04-12,Pediatric,0.51,1128001,447836.701018,228397,0
Alabama,0.397018,2025-04-19,Pediatric,0.51,1128001,447836.701018,228397,0
Alabama,0.397018,2025-04-26,Pediatric,0.51,1128001,447836.701018,228397,0
Alaska,0.028,2024-08-24,Adult,0.36,555513,15554.364,5600,5600
Alaska,0.028,2024-08-31,Adult,0.36,555513,15554.364,5600,0
Alaska,0.038,2024-09-07,Adult,0.36,555513,21109.494,7599,1999
Alaska,0.051,2024-09-14,Adult,0.36,555513,28331.163,10199,2600
Alaska,0.084,2024-09-21,Adult,0.36,555513,46663.092,16799,6600
Alaska,0.09,2024-09-28,Adult,0.36,555513,49996.17,17999,1200
Alaska,0.163,2024-10-05,Adult,0.36,555513,90548.619,32598,14599
Alaska,0.178,2024-10-12,Adult,0.36,555513,98881.314,35597,2999
Alaska,0.194,2024-10-19,Adult,0.36,555513,107769.522,38797,3200
Alaska,0.291,2024-10-26,Adult,0.36,555513,161654.283,58196,19399
Alaska,0.291,2024-11-02,Adult,0.36,555513,161654.283,58196,0
Alaska,0.313,2024-11-09,Adult,0.36,555513,173875.569,62595,4399
Alaska,0.313,2024-11-16,Adult,0.36,555513,173875.569,62595,0
Alaska,0.315,2024-11-23,Adult,0.36,555513,174986.595,62995,400
Alaska,0.315,2024-11-30,Adult,0.36,555513,174986.595,62995,0
Alaska,0.36,2024-12-07,Adult,0.36,555513,199984.68,71994,8999
Alaska,0.36,2024-12-14,Adult,0.36,555513,199984.68,71994,0
Alaska,0.36,2024-12-21,Adult,0.36,555513,199984.68,71994,0
