State,ReleaseDay,TotalWeeklyNewFullProtect
Alabama,-38,33923
Alabama,-31,16961
Alabama,-24,15548
Alabama,-17,31096
Alabama,-10,22615
Alabama,-3,40990
Alabama,4,139031
Alabama,11,51197
Alabama,18,35373
Alabama,25,22606
Alabama,32,115198
Alabama,39,29770
Alabama,46,254
Alabama,53,7109
Alabama,60,9894
Alabama,67,84764
Alabama,74,8340
Alabama,81,3032
Alabama,88,19788
Alabama,95,13885
Alabama,102,1848
Alabama,109,13571
Alabama,123,29893
Alabama,137,4193
Alabama,151,17860
Alabama,165,413
Alabama,172,47
Alabama,186,11857
Alaska,-38,5600
Alaska,-24,1999
Alaska,-17,2600
Alaska,-10,6600
Alaska,-3,1200
Alaska,4,28755
Alaska,11,5068
Alaska,18,3551
Alaska,25,19399
Alaska,32,8285
Alaska,39,4471
Alaska,46,4
Alaska,53,401
Alaska,67,14033
Alaska,74,1660
Alaska,88,798
Alaska,95,4797
Alaska,102,600
Alaska,109,511
Alaska,123,6765
Alaska,137,1580
Alaska,151,2600
Alaska,158,999
Alaska,165,200
Alaska,186,4497
Arizona,-38,36764
Arizona,-24,46975
Arizona,-17,26552
Arizona,-10,136842
Arizona,-3,40849
Arizona,4,137147
Arizona,11,26024
Arizona,18,39977
Arizona,25,26552
Arizona,32,286332
Arizona,39,14297
Arizona,46,36156
Arizona,53,33001
Arizona,60,32698
Arizona,67,73545
Arizona,74,4285
Arizona,95,50126
Arizona,109,8385
Arizona,123,77830
Arizona,130,8170
Arizona,137,4270
Arizona,151,27384
Arizona,186,29625
Arkansas,-38,10052
Arkansas,-24,30992
Arkansas,-17,15078
Arkansas,-10,13402
Arkansas,-3,30155
Arkansas,4,56384
Arkansas,11,20270
Arkansas,18,60982
Arkansas,25,29303
Arkansas,32,88109
Arkansas,39,21940
Arkansas,46,8531
Arkansas,53,8835
Arkansas,67,64738
Arkansas,81,15140
Arkansas,95,15077
Arkansas,102,838
Arkansas,109,1242
Arkansas,116,2513
Arkansas,123,14542
Arkansas,137,12748
Arkansas,151,4166
Arkansas,172,5452
Arkansas,186,13977
California,-38,384474
California,-31,21969
California,-24,98865
California,-17,571218
California,-10,186744
California,-3,318564
California,4,1449571
California,11,474552
California,18,241669
California,25,613861
California,32,634998
California,39,352320
California,46,59430
California,53,236443
California,67,616271
California,74,806
California,81,166555
California,88,32954
California,95,255222
California,102,106764
California,109,15454
California,116,43940
California,123,374396
California,130,110473
California,137,43940
California,151,197473
California,158,53439
California,186,248166
Colorado,-38,52645
Colorado,-24,21387
Colorado,-17,36194
Colorado,-10,41129
Colorado,-3,21387
Colorado,4,256367
Colorado,11,126093
Colorado,18,55787
Colorado,25,23156
Colorado,32,169133
Colorado,39,19742
Colorado,46,39956
Colorado,53,70642
Colorado,67,98026
Colorado,74,14996
Colorado,81,9091
Colorado,88,4936
Colorado,95,17474
Colorado,102,14170
Colorado,109,4801
Colorado,123,32903
Colorado,137,8226
Colorado,144,4935
Colorado,151,18316
Colorado,186,11939
Colorado,200,3291
Connecticut,-38,27841
Connecticut,-24,1032
Connecticut,-17,17529
Connecticut,4,241364
Connecticut,18,14550
Connecticut,25,27512
Connecticut,32,246685
Connecticut,39,61112
Connecticut,46,61379
Connecticut,53,36641
Connecticut,67,15113
Connecticut,74,24748
Connecticut,81,14436
Connecticut,95,16902
Connecticut,109,532
Connecticut,123,12083
Connecticut,151,7374
Connecticut,186,12697
Delaware,-38,2864
Delaware,-31,1718
Delaware,-24,7732
Delaware,-17,4868
Delaware,-10,4009
Delaware,-3,10596
Delaware,4,38295
Delaware,11,16323
Delaware,18,20103
Delaware,25,7576
Delaware,32,27986
Delaware,39,6587
Delaware,46,7842
Delaware,53,5750
Delaware,60,1145
Delaware,67,10246
Delaware,74,2883
Delaware,81,5868
Delaware,95,784
Delaware,123,7969
Delaware,130,595
Delaware,151,6384
Delaware,158,573
Delaware,186,4506
Delaware,200,286
District of Columbia,-38,4918
District of Columbia,-31,2557
District of Columbia,-24,5508
District of Columbia,-17,4130
District of Columbia,-10,7278
District of Columbia,-3,5115
District of Columbia,4,27304
District of Columbia,11,10208
District of Columbia,18,13972
District of Columbia,25,6990
District of Columbia,32,20588
District of Columbia,39,5674
District of Columbia,46,3197
District of Columbia,53,3721
District of Columbia,60,1357
District of Columbia,67,14733
District of Columbia,74,1180
District of Columbia,81,1898
District of Columbia,88,1135
District of Columbia,95,3965
District of Columbia,102,394
District of Columbia,109,393
District of Columbia,116,197
District of Columbia,123,5501
District of Columbia,130,393
District of Columbia,137,916
District of Columbia,144,197
District of Columbia,151,4711
District of Columbia,158,196
District of Columbia,186,7475
District of Columbia,193,393
Florida,-38,57100
Florida,-24,190334
Florida,-10,247434
Florida,-3,145923
Florida,4,736150
Florida,11,76134
Florida,18,241089
Florida,25,57100
Florida,32,347236
Florida,39,31809
Florida,46,50755
Florida,53,182507
Florida,67,316033
Florida,74,101512
Florida,81,6631
Florida,95,50585
Florida,102,5114
Florida,109,747
Florida,123,177222
Florida,151,109650
Florida,158,13618
Florida,172,85
Florida,179,12689
Florida,186,63444
Florida,200,940
Georgia,-38,74525
Georgia,-24,86448
Georgia,-17,26829
Georgia,-10,146068
Georgia,4,255720
Georgia,11,61814
Georgia,18,187137
Georgia,25,104335
Georgia,32,172991
Georgia,39,34758
Georgia,46,115536
Georgia,53,8943
Georgia,67,112306
Georgia,74,2986
Georgia,81,159
Georgia,88,20867
Georgia,95,100566
Georgia,102,17804
Georgia,123,69018
Georgia,130,8943
Georgia,137,2981
Georgia,144,23848
Georgia,151,26886
Georgia,158,4560
Georgia,172,6691
Georgia,179,5962
Georgia,186,34542
Hawaii,-38,17300
Hawaii,-31,3707
Hawaii,-24,11533
Hawaii,-17,14828
Hawaii,-10,20595
Hawaii,-3,12357
Hawaii,4,46127
Hawaii,11,10249
Hawaii,18,13316
Hawaii,25,12768
Hawaii,32,39609
Hawaii,39,14677
Hawaii,46,6268
Hawaii,53,6423
Hawaii,60,2472
Hawaii,67,11574
Hawaii,74,5850
Hawaii,81,2530
Hawaii,95,15160
Hawaii,102,3218
Hawaii,109,548
Hawaii,123,8785
Hawaii,130,1236
Hawaii,137,2057
Hawaii,144,2471
Hawaii,151,6573
Hawaii,158,1236
Hawaii,186,6590
Hawaii,193,412
Idaho,-38,11327
Idaho,-17,9267
Idaho,-10,6693
Idaho,-3,9267
Idaho,4,50100
Idaho,11,25760
Idaho,18,10047
Idaho,32,68190
Idaho,46,2142
Idaho,53,10409
Idaho,67,45738
Idaho,74,1204
Idaho,81,4150
Idaho,95,12058
Idaho,102,2060
Idaho,109,4119
Idaho,123,5171
Idaho,137,515
Idaho,144,1545
Idaho,151,5474
Idaho,186,4231
Idaho,200,1671
Illinois,-38,67605
Illinois,-31,3558
Illinois,-24,67605
Illinois,-17,67605
Illinois,-10,96070
Illinois,-3,138769
Illinois,4,415501
Illinois,11,178489
Illinois,18,210190
Illinois,25,119658
Illinois,32,288743
Illinois,39,49062
Illinois,46,47754
Illinois,53,43271
Illinois,60,144309
Illinois,67,148241
Illinois,74,9871
Illinois,81,17954
Illinois,88,106361
Illinois,95,24234
Illinois,102,17898
Illinois,109,34685
Illinois,123,56931
Illinois,130,4541
Illinois,137,10674
Illinois,144,14233
Illinois,151,34996
Illinois,158,6388
Illinois,165,8693
Illinois,172,3558
Illinois,186,54441
Illinois,193,1050
Illinois,200,102
Illinois,207,29752
Indiana,-38,43186
Indiana,-31,11266
Indiana,-24,5633
Indiana,-17,22531
Indiana,-10,20654
Indiana,-3,13144
Indiana,4,318645
Indiana,11,48819
Indiana,18,98446
Indiana,25,131767
Indiana,32,84622
Indiana,39,28165
Indiana,46,11705
Indiana,53,24823
Indiana,60,17536
Indiana,67,125746
Indiana,74,26808
Indiana,81,17392
Indiana,95,15095
Indiana,102,3755
Indiana,109,3846
Indiana,123,38374
Indiana,130,18240
Indiana,144,10134
Indiana,158,1878
Indiana,186,17864
Indiana,207,13143
Iowa,-38,11510
Iowa,-24,15051
Iowa,-17,31873
Iowa,-10,38071
Iowa,-3,15051
Iowa,4,89078
Iowa,11,19479
Iowa,18,3587
Iowa,25,11931
Iowa,32,182565
Iowa,39,9739
Iowa,46,9739
Iowa,53,14664
Iowa,60,30824
Iowa,67,54007
Iowa,74,3072
Iowa,81,4566
Iowa,88,6460
Iowa,95,19741
Iowa,109,3160
Iowa,123,19932
Iowa,130,885
Iowa,144,3542
Iowa,151,14008
Iowa,165,2656
Iowa,186,8853
Iowa,200,1771
Kansas,-38,18487
Kansas,-31,3215
Kansas,-24,1608
Kansas,-17,7234
Kansas,-10,20899
Kansas,-3,1607
Kansas,4,133202
Kansas,11,37769
Kansas,18,42401
Kansas,25,35366
Kansas,32,79897
Kansas,39,18107
Kansas,46,9645
Kansas,53,2412
Kansas,60,6430
Kansas,67,49131
Kansas,74,15795
Kansas,81,6818
Kansas,95,13740
Kansas,109,1608
Kansas,123,12085
Kansas,151,17843
Kansas,186,804
Kentucky,-38,43949
Kentucky,-31,6278
Kentucky,-24,7534
Kentucky,-17,35159
Kentucky,-10,28880
Kentucky,-3,8790
Kentucky,4,80040
Kentucky,11,44096
Kentucky,18,17579
Kentucky,25,138324
Kentucky,32,114266
Kentucky,39,22684
Kentucky,46,16288
Kentucky,53,15187
Kentucky,60,9051
Kentucky,67,87812
Kentucky,74,10826
Kentucky,81,1256
Kentucky,95,21346
Kentucky,109,776
Kentucky,123,36379
Kentucky,137,8789
Kentucky,151,28171
Kentucky,172,7534
Kentucky,186,2834
Louisiana,-38,17803
Louisiana,-24,36878
Louisiana,-17,6358
Louisiana,-10,17803
Louisiana,-3,7630
Louisiana,4,137053
